"Dataset_ID","Latitude","Longitude","Reconstruction","Simulation"
987,50.76671,-55.5315,0.578947368421053,0.105263157894737
997,50.06667,137.0833,0.25,0.05
998,63.16667,175,0.176470588235294,0
999,37.98472,-78.9972,0.08,0.08
1000,50.32056,-105.884,0.666666666666667,0
1001,60.03333,-129.017,0,0.125
1002,43.24,-80.41,0.0769230769230769,0
1003,68.38333,-138.383,0.0588235294117647,0.147058823529412
1006,64.44444,-146.908,0.166666666666667,0
1008,52.93333,-66.95,0.0666666666666667,0.0666666666666667
1013,34,-109.43,0.75,0
1024,67.93333,-155.05,0.217391304347826,0.130434782608696
1028,58.2,-63.0333,0.1,0.1
1030,43.75,-110.6,0.25,0.0277777777777778
1033,45.98889,-73.3,0.2,0
1104,63.94,-144.658,0.105263157894737,0
1105,44.51667,-76.6,0,0
1107,64.63333,-138.4,0,0
1111,46.55,-94.1333,0,0
1114,41.65,-87.0722,0.5,0
1133,41.72,-86.55,0,0.0689655172413793
1135,43.64,-79.48,0,0
1136,43.64,-79.49,0,0
1137,43.65,-79.5,0,0
1139,48.61861,-58.965,0.666666666666667,0
1141,67.66667,86,0,0
1142,66.135,-66.0833,0.476190476190476,0.285714285714286
1144,47.96667,142.1667,0,0
1147,50.91667,-90.45,0.142857142857143,0.142857142857143
1148,44.63333,-122.575,0.259259259259259,0.037037037037037
1149,44.48333,-77.05,0,0
1152,38.865,-107.033,0.176470588235294,0
1153,47.13556,-93.6436,0.0434782608695652,0
1154,-22.7833,-45.5333,0,0
1155,56.81667,38.76667,0.0666666666666667,0.0666666666666667
1156,48.81667,141.9667,0,0
1157,47.31667,-81.7667,0.423076923076923,0.153846153846154
1158,62.07229,149.5398,0.333333333333333,0
1160,37.43255,-85.7246,0,0
1161,70.89417,179.6236,0,0
1162,34.33333,-110.833,0.8,0
1171,50.22,-80.2,0,0
1254,46.93278,-70.9328,0.230769230769231,0.0769230769230769
1255,42.26,-93.7,0.166666666666667,0.0416666666666667
1390,66.76667,-157.217,0.12,0.24
1391,48.24,-58.24,0.518518518518518,0.185185185185185
1393,47.25778,-71.1628,0.111111111111111,0
1397,45.99194,-73.3028,0.0909090909090909,0
1432,68.14,-161.44,0.5,0
1434,58.19142,27.41146,0.0625,0.0625
1435,49.72651,15.97089,0.25,0
1437,54.02778,-76.6439,0.125,0.125
1438,57.64055,14.53458,0.0384615384615385,0.230769230769231
1439,53.03,70.22,0.333333333333333,0.0833333333333333
1440,46.51667,32.61667,0.444444444444444,0.166666666666667
1441,70,85,0.166666666666667,0.0833333333333333
1442,55,83,0.666666666666667,0.333333333333333
1443,-14.8,-69.1833,0.0666666666666667,0
1444,55,81,0.384615384615385,0.153846153846154
1445,64.16,-127.6,0.0357142857142857,0.0357142857142857
1447,45.3,-90.35,0.0833333333333333,0
1448,44.24,-87.85,0.03125,0.15625
1451,48.32,-71.39,0.529411764705882,0
1520,44.77085,-93.1226,0.0769230769230769,0
1522,57.68291,27.25128,0.172413793103448,0.103448275862069
1523,48.24,-121.62,0.285714285714286,0.0714285714285714
1524,45.66667,-87.455,0,0
1541,66.98,-156.46,0,0.1
1542,63.28333,147.75,0,0
1543,57.5,69,0.375,0
1549,52.96222,70.38044,0.375,0.125
1551,66,-179,0.5,0
1553,64.98333,143.375,1,0
1559,71.06667,156.25,0,0
1562,70.66667,156.75,0,0
1563,69.96667,156.375,0,0
1564,47.34,-91.81,0.0476190476190476,0.333333333333333
1568,41.38215,-75.2913,0,0
1569,46.72,-70.29,0,0.0416666666666667
1571,47.28,-79.11,0.285714285714286,0
1572,44.27,-66.08,0.25,0.125
1574,41.42,-84.76,0,0.0909090909090909
1577,43.04169,-6.13878,0.266666666666667,0.0333333333333333
1578,-41.0583,-71.5167,0,0.2
1579,-16.4,-71.15,0,0.5
1580,45.59,-84.32,0.277777777777778,0.166666666666667
1581,45.05,-84.79,0,0
1582,67.05,-50.4667,0.363636363636364,0
1587,55.00917,-73.5167,0,0.0666666666666667
1590,49.68333,-74.5833,0.529411764705882,0.176470588235294
1591,56.28333,-75.1,0.142857142857143,0.0714285714285714
1592,56.02464,-74.9465,0,0.0769230769230769
1594,55.11083,-75.2489,0.153846153846154,0
1595,56.1,-75.2833,0.0714285714285714,0.0714285714285714
1598,57.91667,-75.6167,0,0.0714285714285714
1599,58.58333,-75.25,0,0.133333333333333
1601,58.57833,-75.245,0.0909090909090909,0.0909090909090909
1603,58.14167,-75.15,0,0.125
1604,73.59139,-98.5389,0.333333333333333,0
1606,46.82833,-80.6983,0.0869565217391304,0.0434782608695652
1607,48.4,-81.3167,0.142857142857143,0.0476190476190476
1610,-53.5,-67.8333,0.681818181818182,0
1611,51.57333,-55.55,0,0
1615,46,-73.2169,0,0
1617,65.94222,-135.514,0.268292682926829,0.0975609756097561
1621,-17.9479,-42.2115,0,0.136363636363636
1622,49.47133,-55.473,0.2,0.2
1623,64.1,171.1833,1,0.5
1626,49.21,-65.81,0.235294117647059,0.117647058823529
1628,59.58333,151.8667,0.368421052631579,0
1630,-35.0897,149.4293,0.5,0
1631,-10.7836,-76.5946,0.1875,0.0625
1632,59.2,-135.39,0.0869565217391304,0.0869565217391304
1633,45.04816,-92.8239,0.157894736842105,0.0526315789473684
1635,43.77,-110.33,0,0
1637,43.76667,-110.317,0.25,0
1639,47.286,-93.6005,0.136363636363636,0
1642,44.16658,-123.584,0.3,0
1646,-11.7833,-75.2167,0,0.285714285714286
1647,-11,-76.1667,0,0.153846153846154
1648,27.20731,-81.3509,0.0769230769230769,0
1650,52.44715,-56.431,0.25,0.15
1651,44.6682,-63.9366,0.4,0.4
1654,-11.5775,-76.3565,0.2,0
1655,43.16667,-78.7167,0.142857142857143,0
1656,54.72528,-112.481,0,0
1657,56.71667,-119.717,0.04,0.04
1658,44.14,-71.7011,0,0
1659,62.6,-101.24,0,0
1661,40.49095,-75.6697,0,0
1663,45.04,-68.2,0.12,0.08
1664,65.5,-171.7,0.5,0
1666,47.63516,-110.484,0.428571428571429,0
1667,44.25,-71.25,0,0
1670,52.94643,-131.764,0,0.181818181818182
1671,26.48111,-80.4156,0.666666666666667,0
1674,-11.75,-75.25,0.111111111111111,0.333333333333333
1679,-11.6667,-75,0,0.193548387096774
1680,61,78.5,0.230769230769231,0
1683,-17.3659,145.6861,0.2,0
1684,56.84167,-101.042,0,0
1687,64.83333,120.9667,0,0
1691,47.59722,-70.9764,0.25,0.0833333333333333
1694,-41.3333,-71.5833,0.333333333333333,0.222222222222222
1695,60.88333,151.6167,0.5,0
1698,45.04,-68.73,0.05,0
1701,43.225,-80.6597,0.0714285714285714,0.0357142857142857
1703,47.05,-71.4,0.0833333333333333,0.0416666666666667
1704,68.26667,-133.467,0.0869565217391304,0.0434782608695652
1705,49.30833,-122.547,0.103448275862069,0.103448275862069
1707,44.15,-110.24,0.461538461538462,0
1709,56.78,-64.83,0.0666666666666667,0.0666666666666667
1711,-41.25,-71.4667,0.545454545454545,0.227272727272727
1715,46.72639,-73.0306,0,0.0555555555555556
1716,46.78778,-72.8378,0,0.0555555555555556
1718,45.30278,-66.0708,0,0.222222222222222
1719,45.05,-80.09,0,0
1724,64.13333,-110.583,0,0
1725,46.42694,-84.952,0,0
1732,44.98419,-97.3501,0.166666666666667,0
1733,65.21,-126.13,0,0
1735,43.1,-89.4167,0,0
1736,46.61667,142.9167,0.0714285714285714,0.142857142857143
1754,47.49694,-70.3758,0.0476190476190476,0.0952380952380952
1755,66.91667,-155.033,0.114285714285714,0.114285714285714
1758,8.916667,-70.8333,0.423076923076923,0.115384615384615
1762,37.73778,-107.698,0.2,0
1763,43.76667,-69.3,0,0.133333333333333
1766,34.6492,-111.752,0.576923076923077,0.0384615384615385
1768,46.85592,-98.1598,0.222222222222222,0
1769,52.26667,-58.05,0.157894736842105,0.105263157894737
1770,51.38333,-94.25,0.588235294117647,0
1771,-50.4667,-73,0.590909090909091,0.0454545454545455
1772,48.76917,-122.118,0,0.0952380952380952
1773,44.6275,-68.6392,0,0.181818181818182
1776,29.29993,-81.866,0,0
1778,46.85894,-94.7554,0,0
1780,60.03333,-141.967,0.0909090909090909,0.0454545454545455
1782,39.53,-95.5133,0.266666666666667,0.0666666666666667
1783,71.78333,-122.667,0.5,0.333333333333333
1786,47.98261,-93.3853,0.16,0
1788,63.01667,-128.8,0.166666666666667,0.166666666666667
1789,34.66333,-95.3861,0,0
1791,57.65,-71.65,0.222222222222222,0
1794,46.40707,-92.6866,0,0
1795,-16.2167,-71.0833,0.333333333333333,0
1796,40.54583,-83.8333,0.181818181818182,0.0909090909090909
1802,31.3,31.6,1,0
1803,31.10833,31.71667,1,0
1804,31.125,31.86667,1,0
1806,67.86667,-160.433,0.36,0.2
1807,46.6,-81.5,0,0.0833333333333333
1809,49.16667,142.0167,0,0
1810,61.25,77,0.0588235294117647,0
1814,41.28333,-70.2083,0,0
1815,35.08333,-89.9167,0,0
1817,42.65171,-73.0534,0,0
1820,45.21,-79.45,0,0.0454545454545455
1824,43.38,-95.16,0.1875,0.03125
1826,37.11667,-89.8333,0.153846153846154,0.307692307692308
1829,48.42222,-89.3239,0.333333333333333,0.0833333333333333
1831,46.34159,-94.408,0,0
1836,48.23333,138.4833,0,0.142857142857143
1837,48.23333,138.4833,0,0
1841,47.53278,-68.9439,0.0909090909090909,0.0909090909090909
1842,48.21667,138.4,0.6,0.2
1843,43.25,134.5667,0,0.5
1844,43.25,134.5667,0,0.333333333333333
1845,50.41667,80.46667,0.304347826086957,0.0869565217391304
1847,43.62,-79.48,0,0
1849,53.05,-57.75,0.222222222222222,0
1852,43.46806,-109.959,0,0
1854,43.45,-109.941,0.0833333333333333,0
1856,43.45917,-109.92,0,0
1857,43.18,-81.75,0.157894736842105,0.0526315789473684
1859,41.51,-71.45,0,0
1860,49.36771,75.39858,0.380952380952381,0.0952380952380952
1862,48.56,-88.74,0.409090909090909,0.0909090909090909
1864,56.67,-64.68,0.0769230769230769,0
1866,19.58333,-101.583,0.454545454545455,0.272727272727273
1868,44.1,-78.34,0.222222222222222,0
1879,43.33,-79.82,0.5,0.25
1880,-49.1333,-74.4167,0.363636363636364,0.0909090909090909
1882,67.2,-142.067,0,0.272727272727273
1883,49.48,-92,0.315789473684211,0
1885,62.41667,165.4167,0.5,0
1886,59.85,150.6167,0.222222222222222,0
1888,51.65139,-100.899,0.416666666666667,0
1889,43.3,132.1167,0.4,0
1890,50.56,-66.29,0.5625,0.0625
1891,46.96667,-95.3167,0,0
1892,-26.4167,-48.8667,0,0
1894,9.166667,-70.8333,0.5,0
1897,42.16,-93.9,0.55,0.05
1904,45.47,-75.81,0,0.08
1906,48.6,-124.2,0,0.09375
1958,-40.9525,-72.905,0,0.2
1961,44.03333,-70.35,0,0
1964,48.90725,-123.833,0,0.107142857142857
1965,44.93,-79.78,0,0.0434782608695652
1966,47.081,-94.113,0.166666666666667,0
1967,41.57611,-87.2225,0.142857142857143,0
1968,46.67361,-64.075,0.0833333333333333,0.0416666666666667
1969,42.63333,130.8,0,0
1970,37.93746,-111.696,0.166666666666667,0
1972,37.6,-80.1333,0,0
1974,36.6,-90.5833,0.2,0.05
1976,-40.6667,-71.1833,0,0
1979,61.03333,151.7167,0.125,0
1980,42.62222,-78.4667,0,0
1981,47.075,-64.8,0.36,0.04
1982,38.02694,-76.22,0,0
1984,38.33333,-76.3097,0,0
1986,66.7,79.73333,0.181818181818182,0
1987,63.5,-162.21,0.260869565217391,0.217391304347826
2001,40.67,-84.89,0.222222222222222,0.222222222222222
2004,64.11667,-110.567,0,0
2005,16.91667,-89.8167,0.181818181818182,0.272727272727273
2006,34.33,-84.87,0,0.272727272727273
2007,41,-81.9667,0,0.294117647058824
2011,43.4,-88.1,0,0
2013,58.23278,-72.0669,0,0
2015,58.21694,-71.95,0,0
2016,58.23278,-72.0669,0.4,0
2022,65.23603,-126.414,0.25,0
2023,45.6,-76.1,0,0.0384615384615385
2025,67.13883,-153.637,0,0
2026,42.72889,-109.194,0.457142857142857,0
2028,49.35,-92.7,0.333333333333333,0.25
2030,32.46667,-93.1667,0,0
2045,67.41667,-149.8,0.285714285714286,0.0357142857142857
2047,67.68333,-155.033,0,0
2048,45.67,-71.33,0.166666666666667,0.111111111111111
2049,40.08,-105.54,0.0434782608695652,0
2050,67.25,-152.6,0.173913043478261,0.217391304347826
2053,46.21194,-95.2842,0.0869565217391304,0
2054,69.11667,-132.167,0,0
2061,38.88639,-76.3947,0,0
2063,39.95361,-85.7417,0,0.25
2065,48.00942,-101.54,0.523809523809524,0
2068,54.30556,-84.5583,0.2,0.3
2069,-16.4333,-68.1333,0,0
2262,51.6,-55.53,0.0714285714285714,0
2265,48.05194,-65.2669,0.307692307692308,0.115384615384615
2266,48.26,-58.81,0.318181818181818,0.0909090909090909
2267,56.76667,-64.8167,0,0
2268,62.16667,149.5,0,0
2270,41.3525,-72.2992,0.0555555555555556,0.0277777777777778
2286,45.97,-73.33,0.105263157894737,0
2287,44.18,-79.44,0.2,0
2289,41.9,-77.92,0,0.25
2290,46.58333,-93.6,0.181818181818182,0.0909090909090909
2292,43.92,-69.49,0.0689655172413793,0
2293,43.5,-81,0.0625,0.4375
2297,73.13333,-95.2833,0,0
2303,72.58636,-95.0754,0,0
2311,67.07,-154.24,0.04,0.2
2312,-3.43333,29.61667,0.272727272727273,0.0909090909090909
2314,44.87083,-93.859,0.0769230769230769,0
2317,42.83333,131.3667,0,0
2318,46.13194,-85.1792,0,0
2319,51.39,-66.21,0.142857142857143,0
2323,-18.1667,-68.8833,0.5,0
2324,67.43333,-147.85,0.111111111111111,0.222222222222222
2326,-35.3333,-69.75,0.1,0
2327,-19,-46.7667,0.111111111111111,0.037037037037037
2328,-32.25,-69.3333,0,0.25
2332,46.65417,-72.9789,0,0.05
2335,42.1,-6.73333,0.0303030303030303,0.0303030303030303
2338,33.65833,-117.858,0,0
2341,42.98,-82.32,0,0
2342,46.06,-74.37,0,0.0416666666666667
2343,46.17,-74.38,0.08,0.04
2347,46.91944,-55.6125,0,0.25
2348,54.41667,-131.907,0,0.0833333333333333
2351,67.58333,-151.417,0.1,0.05
2352,68.25,-145.18,0,0.0454545454545455
2355,44.45,-87.53,0,0.153846153846154
2362,53.21667,135.05,0.1875,0.125
2363,53.21667,135.0333,0.1,0
2364,53.21667,135.0667,0,0.25
2367,50.14,-67.13,0.125,0
2368,49.23333,142.0833,0.153846153846154,0
2369,49.23333,142.0833,0.5,0
2373,48.29389,-72.1469,0.173913043478261,0.173913043478261
2377,45.01667,-64.1833,0.0952380952380952,0
2378,45.35889,-72.5847,0.15,0.15
2381,44.2697,-107.012,0.166666666666667,0
2382,45.15,-81.42,0,0.0454545454545455
2384,44.56,-63.64,0,0.08
2385,40.35434,-83.8125,0.2,0.08
2388,46.13333,137.8333,0,0
2391,43.96,-70.34,0.148148148148148,0
2393,49.93333,-91.5667,0.357142857142857,0.142857142857143
2395,20.86667,-90.1333,0,0
2396,20.86667,-90.1333,0,0
2476,69.28333,-133.583,0,0.0344827586206897
2576,44.93333,-110.35,0.0909090909090909,0.0909090909090909
2578,40.20556,-82.4458,0,0
2579,64.76651,141.1036,0.352941176470588,0
2580,57.16,-119.97,0.0588235294117647,0.0588235294117647
2583,62.16667,149.5,0.384615384615385,0
2586,46.47,-86.9583,0,0.0384615384615385
2587,38.83278,-107.069,0.25,0.0833333333333333
2588,38.83164,-107.078,0,0.111111111111111
2590,55.51139,-119.583,0,0.2
2591,41.68,-76.35,0.0645161290322581,0.0645161290322581
2593,41.23687,-74.1833,0.151515151515152,0.0909090909090909
2594,-28.55,-49.55,0.0588235294117647,0
2596,68.66667,159.5,1,0.166666666666667
2598,39.67,-82.94,0.125,0
2603,53.92276,-58.9169,0,0.0625
2609,40.21667,-84.6894,0.291666666666667,0.166666666666667
2611,60.95,-137.958,0,0
2612,55,80.25,0.333333333333333,0
2614,57.05,123.85,0.111111111111111,0
2615,49.31969,-122.562,0.0769230769230769,0.0384615384615385
2617,41.39139,-74.0378,0,0.131578947368421
2618,74.5209,79.45742,0.2,0
2619,37.95,-119.83,0.142857142857143,0.0357142857142857
2620,41.72106,-102.499,0.470588235294118,0
2622,67.65,-132.017,0,0
2623,40.4,-74.4833,0.0769230769230769,0.0769230769230769
2624,44.15,-91.45,0.4,0
2625,63.02944,-146.063,0.181818181818182,0
2626,41.03888,-75.2638,0.0277777777777778,0.111111111111111
2627,59.66667,151.2,0,0
2629,41.275,-70.0583,0,0
2631,46.10056,-123.907,0,0
2635,-48.7333,-74.0333,0.5,0
2637,63.12,-145.55,0.115384615384615,0
2642,66.56,-143.15,0.133333333333333,0
2643,42.83333,132.7833,0,0
2644,37.90833,-119.258,0.238095238095238,0.0476190476190476
2645,41.95,-71.0333,0,0
2646,63.06667,-110.792,0,0
2647,50.81531,-114.599,0,0
2649,55,84,0.52,0.04
2650,56.16667,84,0.583333333333333,0.0833333333333333
2651,44.85,-77.18,0,0.214285714285714
2652,52.73333,-118.367,0,0.272727272727273
2654,45.55,-73.32,0,0.08
2660,61.01667,152.3333,0,0.5
2661,69.04938,-133.451,0,0.0333333333333333
2663,27.58613,-81.5034,0,0.0714285714285714
2665,-23.3167,-67.7833,0.333333333333333,0
2669,55.01667,-67.5,0,0
2671,49.15778,-65.7628,0.5,0.125
2673,35.58472,-84.2106,0.666666666666667,0
2880,37.46906,-108.103,0.0869565217391304,0
2882,66.05,-135.656,0.666666666666667,0.333333333333333
2884,67.83333,135.5833,0,0.25
2888,46.19,-95.31,0.2,0
2890,47.30833,-84.2583,0.08,0.12
2892,46.09012,-68.8933,0,0
2899,-36.8581,-71.0485,0.421052631578947,0
2901,8.808333,-70.7917,0.285714285714286,0
2902,44.30861,-74.3708,0,0
2903,44,-79.38,0.0416666666666667,0
2904,63.28333,147.75,0,0
2905,47.11667,138.5833,1,0
2906,47.03333,138.5833,0,0.2
2907,47.11667,138.5833,0,0
2919,42.35154,-88.1848,0.0769230769230769,0
2920,42.9,132.75,0,0
2922,48.52917,-124.002,0,0.1
2925,52.78333,-117.083,0,0
2943,26.35972,-80.3706,0.6,0
2944,26.2875,-80.4114,0.5,0
2948,46.95,-94.95,0,0
2949,45.03333,-77.4333,0,0.1
2951,51.51667,-57.3,0.666666666666667,0
