"Biome","Timeslice_younger","Timeslice_older","Site_number","Proportion","Source"
"TEFO",5,5.5,1041,0.0249759846301633,"ESM-based simulation"
"TEFO",5.5,6,1043,0.000958772770853308,"ESM-based simulation"
"TEFO",6,6.5,991,0.00605449041372351,"ESM-based simulation"
"TEFO",6.5,7,936,0.0341880341880342,"ESM-based simulation"
"TEFO",7,7.5,928,0.0280172413793103,"ESM-based simulation"
"TEFO",7.5,8,887,0.0360766629086809,"ESM-based simulation"
"TEFO",8,8.5,846,0.100472813238771,"ESM-based simulation"
"TEFO",8.5,9,835,0.029940119760479,"ESM-based simulation"
"TEFO",9,9.5,795,0.060377358490566,"ESM-based simulation"
"TEFO",9.5,10,769,0.0325097529258778,"ESM-based simulation"
"TEFO",10,10.5,732,0.040983606557377,"ESM-based simulation"
"TEFO",10.5,11,689,0.146589259796807,"ESM-based simulation"
"TEFO",11,11.5,666,0.241741741741742,"ESM-based simulation"
"TEFO",11.5,12,618,0.273462783171521,"ESM-based simulation"
"TEFO",12,12.5,554,0.0703971119133574,"ESM-based simulation"
"TEFO",12.5,13,525,0.392380952380952,"ESM-based simulation"
"TEFO",13,13.5,461,0.0889370932754881,"ESM-based simulation"
"TEFO",13.5,14,401,0.276807980049875,"ESM-based simulation"
"TEFO",14,14.5,343,0.346938775510204,"ESM-based simulation"
"TEFO",14.5,15,284,0.235915492957746,"ESM-based simulation"
"TEFO",15,15.5,236,0.26271186440678,"ESM-based simulation"
"TEFO",15.5,16,187,0.171122994652406,"ESM-based simulation"
"TEFO",16,16.5,165,0.133333333333333,"ESM-based simulation"
"TEFO",16.5,17,143,0.153846153846154,"ESM-based simulation"
"TEFO",17,17.5,123,0.186991869918699,"ESM-based simulation"
"TEFO",17.5,18,108,0.148148148148148,"ESM-based simulation"
"TEFO",18,18.5,93,0.021505376344086,"ESM-based simulation"
"TEFO",18.5,19,75,0.133333333333333,"ESM-based simulation"
"TEFO",19,19.5,75,0.04,"ESM-based simulation"
"TEFO",19.5,20,62,0.112903225806452,"ESM-based simulation"
"TEFO",20,20.5,48,0.0416666666666667,"ESM-based simulation"
"TEFO",20.5,21,50,0.06,"ESM-based simulation"
"BOFO",0,0.5,412,0.114077669902913,"ESM-based simulation"
"BOFO",0.5,1,425,0.0258823529411765,"ESM-based simulation"
"BOFO",1,1.5,419,0.035799522673031,"ESM-based simulation"
"BOFO",1.5,2,422,0.0402843601895735,"ESM-based simulation"
"BOFO",2,2.5,410,0.0463414634146341,"ESM-based simulation"
"BOFO",2.5,3,414,0.0217391304347826,"ESM-based simulation"
"BOFO",3,3.5,406,0.0221674876847291,"ESM-based simulation"
"BOFO",3.5,4,405,0.00246913580246914,"ESM-based simulation"
"BOFO",4,4.5,398,0.00753768844221105,"ESM-based simulation"
"BOFO",4.5,5,409,0.0244498777506112,"ESM-based simulation"
"BOFO",5,5.5,417,0.0167865707434053,"ESM-based simulation"
"BOFO",5.5,6,406,0.0270935960591133,"ESM-based simulation"
"BOFO",6,6.5,404,0.0420792079207921,"ESM-based simulation"
"BOFO",6.5,7,401,0.0897755610972569,"ESM-based simulation"
"BOFO",7,7.5,389,0.0616966580976864,"ESM-based simulation"
"BOFO",7.5,8,367,0.160762942779292,"ESM-based simulation"
"BOFO",8,8.5,350,0.134285714285714,"ESM-based simulation"
"BOFO",8.5,9,353,0.0538243626062323,"ESM-based simulation"
"BOFO",9,9.5,317,0.0599369085173502,"ESM-based simulation"
"BOFO",9.5,10,297,0.121212121212121,"ESM-based simulation"
"BOFO",10,10.5,265,0.0981132075471698,"ESM-based simulation"
"BOFO",10.5,11,238,0.26890756302521,"ESM-based simulation"
"BOFO",11,11.5,215,0.455813953488372,"ESM-based simulation"
"BOFO",11.5,12,206,0.203883495145631,"ESM-based simulation"
"BOFO",12,12.5,195,0.0820512820512821,"ESM-based simulation"
"BOFO",12.5,13,159,0.389937106918239,"ESM-based simulation"
"BOFO",13,13.5,137,0.153284671532847,"ESM-based simulation"
"BOFO",13.5,14,113,0.274336283185841,"ESM-based simulation"
"BOFO",14,14.5,86,0.302325581395349,"ESM-based simulation"
"BOFO",14.5,15,69,0.173913043478261,"ESM-based simulation"
"BOFO",15,15.5,56,0.107142857142857,"ESM-based simulation"
"BOFO",15.5,16,51,0.0588235294117647,"ESM-based simulation"
"BOFO",16,16.5,47,0.127659574468085,"ESM-based simulation"
"BOFO",16.5,17,33,0.181818181818182,"ESM-based simulation"
"BOFO",17,17.5,24,0,"ESM-based simulation"
"BOFO",17.5,18,22,0.0909090909090909,"ESM-based simulation"
"BOFO",18,18.5,18,0.111111111111111,"ESM-based simulation"
"BOFO",18.5,19,14,0.142857142857143,"ESM-based simulation"
"BOFO",19,19.5,16,0,"ESM-based simulation"
"BOFO",19.5,20,13,0,"ESM-based simulation"
"BOFO",20,20.5,13,0.0769230769230769,"ESM-based simulation"
"BOFO",20.5,21,14,0,"ESM-based simulation"
"SAVA",0,0.5,23,0.0869565217391304,"ESM-based simulation"
"SAVA",0.5,1,23,0,"ESM-based simulation"
"SAVA",1,1.5,21,0,"ESM-based simulation"
"SAVA",1.5,2,24,0.0416666666666667,"ESM-based simulation"
"SAVA",2,2.5,21,0.0952380952380952,"ESM-based simulation"
"SAVA",2.5,3,22,0.0454545454545455,"ESM-based simulation"
"SAVA",3,3.5,17,0.235294117647059,"ESM-based simulation"
"SAVA",3.5,4,16,0.3125,"ESM-based simulation"
"SAVA",4,4.5,18,0.222222222222222,"ESM-based simulation"
"SAVA",4.5,5,22,0.0454545454545455,"ESM-based simulation"
"SAVA",5,5.5,19,0,"ESM-based simulation"
"SAVA",5.5,6,16,0,"ESM-based simulation"
"SAVA",6,6.5,17,0.0588235294117647,"ESM-based simulation"
"SAVA",6.5,7,19,0,"ESM-based simulation"
"SAVA",7,7.5,17,0.0588235294117647,"ESM-based simulation"
"SAVA",7.5,8,16,0.25,"ESM-based simulation"
"SAVA",8,8.5,16,0.25,"ESM-based simulation"
"SAVA",8.5,9,14,0,"ESM-based simulation"
"SAVA",9,9.5,15,0,"ESM-based simulation"
"SAVA",9.5,10,15,0.333333333333333,"ESM-based simulation"
"SAVA",10,10.5,16,0,"ESM-based simulation"
"SAVA",10.5,11,17,0,"ESM-based simulation"
"SAVA",11,11.5,17,0.529411764705882,"ESM-based simulation"
"SAVA",11.5,12,14,0.285714285714286,"ESM-based simulation"
"SAVA",12,12.5,14,0,"ESM-based simulation"
"SAVA",12.5,13,13,0.384615384615385,"ESM-based simulation"
"SAVA",13,13.5,9,0.111111111111111,"ESM-based simulation"
"SAVA",13.5,14,9,0.111111111111111,"ESM-based simulation"
"SAVA",14,14.5,8,0,"ESM-based simulation"
"SAVA",14.5,15,7,0,"ESM-based simulation"
"SAVA",15,15.5,7,0,"ESM-based simulation"
"SAVA",15.5,16,5,0,"ESM-based simulation"
"SAVA",16,16.5,5,0,"ESM-based simulation"
"SAVA",16.5,17,7,0.142857142857143,"ESM-based simulation"
"SAVA",17,17.5,6,0,"ESM-based simulation"
"SAVA",17.5,18,5,0.2,"ESM-based simulation"
"SAVA",18,18.5,5,0,"ESM-based simulation"
"SAVA",18.5,19,4,0,"ESM-based simulation"
"SAVA",19,19.5,4,0,"ESM-based simulation"
"SAVA",19.5,20,4,0.25,"ESM-based simulation"
"SAVA",20,20.5,4,0.25,"ESM-based simulation"
"SAVA",20.5,21,4,0,"ESM-based simulation"
"STEP",0,0.5,125,0.152,"ESM-based simulation"
"STEP",0.5,1,141,0.0212765957446809,"ESM-based simulation"
"STEP",1,1.5,136,0.0147058823529412,"ESM-based simulation"
"STEP",1.5,2,128,0.0078125,"ESM-based simulation"
"STEP",2,2.5,130,0.0307692307692308,"ESM-based simulation"
"STEP",2.5,3,133,0.037593984962406,"ESM-based simulation"
"STEP",3,3.5,134,0.0970149253731343,"ESM-based simulation"
"STEP",3.5,4,132,0.0227272727272727,"ESM-based simulation"
"STEP",4,4.5,122,0.00819672131147541,"ESM-based simulation"
"STEP",4.5,5,124,0.0241935483870968,"ESM-based simulation"
"STEP",5,5.5,122,0,"ESM-based simulation"
"STEP",5.5,6,117,0.00854700854700855,"ESM-based simulation"
"STEP",6,6.5,110,0.0181818181818182,"ESM-based simulation"
"STEP",6.5,7,109,0,"ESM-based simulation"
"STEP",7,7.5,109,0.0275229357798165,"ESM-based simulation"
"STEP",7.5,8,103,0.0194174757281553,"ESM-based simulation"
"STEP",8,8.5,106,0.0943396226415094,"ESM-based simulation"
"STEP",8.5,9,107,0.0373831775700935,"ESM-based simulation"
"STEP",9,9.5,101,0.0495049504950495,"ESM-based simulation"
"STEP",9.5,10,93,0.118279569892473,"ESM-based simulation"
"STEP",10,10.5,87,0.0114942528735632,"ESM-based simulation"
"STEP",10.5,11,81,0.037037037037037,"ESM-based simulation"
"STEP",11,11.5,81,0.111111111111111,"ESM-based simulation"
"STEP",11.5,12,71,0.183098591549296,"ESM-based simulation"
"STEP",12,12.5,62,0.0483870967741935,"ESM-based simulation"
"STEP",12.5,13,61,0.295081967213115,"ESM-based simulation"
"STEP",13,13.5,53,0.0377358490566038,"ESM-based simulation"
"STEP",13.5,14,41,0.170731707317073,"ESM-based simulation"
"STEP",14,14.5,36,0.138888888888889,"ESM-based simulation"
"STEP",14.5,15,26,0,"ESM-based simulation"
"STEP",15,15.5,24,0.125,"ESM-based simulation"
"STEP",15.5,16,27,0.148148148148148,"ESM-based simulation"
"STEP",16,16.5,25,0.08,"ESM-based simulation"
"STEP",16.5,17,18,0.166666666666667,"ESM-based simulation"
"STEP",17,17.5,16,0.0625,"ESM-based simulation"
"STEP",17.5,18,15,0.2,"ESM-based simulation"
"STEP",18,18.5,13,0.0769230769230769,"ESM-based simulation"
"STEP",18.5,19,14,0.0714285714285714,"ESM-based simulation"
"STEP",19,19.5,14,0,"ESM-based simulation"
"STEP",19.5,20,12,0.0833333333333333,"ESM-based simulation"
"STEP",20,20.5,14,0.0714285714285714,"ESM-based simulation"
"STEP",20.5,21,10,0.1,"ESM-based simulation"
"DESE",0,0.5,17,0,"ESM-based simulation"
"DESE",0.5,1,19,0,"ESM-based simulation"
"DESE",1,1.5,17,0,"ESM-based simulation"
"DESE",1.5,2,18,0,"ESM-based simulation"
"DESE",2,2.5,19,0,"ESM-based simulation"
"DESE",2.5,3,20,0,"ESM-based simulation"
"DESE",3,3.5,20,0,"ESM-based simulation"
"DESE",3.5,4,21,0,"ESM-based simulation"
"DESE",4,4.5,20,0,"ESM-based simulation"
"DESE",4.5,5,18,0,"ESM-based simulation"
"DESE",5,5.5,16,0.0625,"ESM-based simulation"
"DESE",5.5,6,17,0,"ESM-based simulation"
"DESE",6,6.5,14,0,"ESM-based simulation"
"DESE",6.5,7,15,0.0666666666666667,"ESM-based simulation"
"DESE",7,7.5,14,0,"ESM-based simulation"
"DESE",7.5,8,14,0.0714285714285714,"ESM-based simulation"
"DESE",8,8.5,16,0,"ESM-based simulation"
"DESE",8.5,9,12,0,"ESM-based simulation"
"DESE",9,9.5,12,0,"ESM-based simulation"
"DESE",9.5,10,11,0.181818181818182,"ESM-based simulation"
"DESE",10,10.5,9,0,"ESM-based simulation"
"DESE",10.5,11,9,0,"ESM-based simulation"
"DESE",11,11.5,6,0.166666666666667,"ESM-based simulation"
"DESE",11.5,12,8,0.125,"ESM-based simulation"
"DESE",12,12.5,6,0.333333333333333,"ESM-based simulation"
"DESE",12.5,13,6,0.5,"ESM-based simulation"
"DESE",13,13.5,5,0,"ESM-based simulation"
"DESE",13.5,14,5,0.2,"ESM-based simulation"
"DESE",14,14.5,5,0.2,"ESM-based simulation"
"DESE",14.5,15,5,0.2,"ESM-based simulation"
"DESE",15,15.5,4,0,"ESM-based simulation"
"DESE",15.5,16,2,0,"ESM-based simulation"
"DESE",16,16.5,1,0,"ESM-based simulation"
"DESE",16.5,17,1,0,"ESM-based simulation"
"DESE",17,17.5,1,0,"ESM-based simulation"
"DESE",17.5,18,2,0,"ESM-based simulation"
"DESE",18,18.5,3,0,"ESM-based simulation"
"DESE",18.5,19,2,0,"ESM-based simulation"
"DESE",19,19.5,2,0,"ESM-based simulation"
"DESE",19.5,20,2,0,"ESM-based simulation"
"DESE",20,20.5,0,NA,"ESM-based simulation"
"DESE",20.5,21,0,NA,"ESM-based simulation"
"TUND",0,0.5,104,0.144230769230769,"ESM-based simulation"
"TUND",0.5,1,111,0.0990990990990991,"ESM-based simulation"
"TUND",1,1.5,102,0.0588235294117647,"ESM-based simulation"
"TUND",1.5,2,103,0.058252427184466,"ESM-based simulation"
"TUND",2,2.5,103,0.0388349514563107,"ESM-based simulation"
"TUND",2.5,3,103,0.0194174757281553,"ESM-based simulation"
"TUND",3,3.5,109,0.0275229357798165,"ESM-based simulation"
"TUND",3.5,4,106,0,"ESM-based simulation"
"TUND",4,4.5,100,0.02,"ESM-based simulation"
"TUND",4.5,5,102,0.0392156862745098,"ESM-based simulation"
"TUND",5,5.5,105,0.00952380952380952,"ESM-based simulation"
"TUND",5.5,6,104,0.0480769230769231,"ESM-based simulation"
"TUND",6,6.5,97,0.0103092783505155,"ESM-based simulation"
"TUND",6.5,7,101,0.0495049504950495,"ESM-based simulation"
"TUND",7,7.5,97,0.0412371134020619,"ESM-based simulation"
"TUND",7.5,8,87,0,"ESM-based simulation"
"TUND",8,8.5,92,0.141304347826087,"ESM-based simulation"
"TUND",8.5,9,95,0.0947368421052632,"ESM-based simulation"
"TUND",9,9.5,87,0.103448275862069,"ESM-based simulation"
"TUND",9.5,10,78,0.0897435897435897,"ESM-based simulation"
"TUND",10,10.5,65,0.138461538461538,"ESM-based simulation"
"TUND",10.5,11,54,0.0925925925925926,"ESM-based simulation"
"TUND",11,11.5,45,0.355555555555556,"ESM-based simulation"
"TUND",11.5,12,40,0.2,"ESM-based simulation"
"TUND",12,12.5,33,0.0303030303030303,"ESM-based simulation"
"TUND",12.5,13,24,0.291666666666667,"ESM-based simulation"
"TUND",13,13.5,28,0.142857142857143,"ESM-based simulation"
"TUND",13.5,14,27,0.259259259259259,"ESM-based simulation"
"TUND",14,14.5,17,0.294117647058824,"ESM-based simulation"
"TUND",14.5,15,18,0,"ESM-based simulation"
"TUND",15,15.5,18,0.0555555555555556,"ESM-based simulation"
"TUND",15.5,16,15,0,"ESM-based simulation"
"TUND",16,16.5,8,0,"ESM-based simulation"
"TUND",16.5,17,8,0,"ESM-based simulation"
"TUND",17,17.5,14,0.0714285714285714,"ESM-based simulation"
"TUND",17.5,18,10,0,"ESM-based simulation"
"TUND",18,18.5,9,0.333333333333333,"ESM-based simulation"
"TUND",18.5,19,10,0,"ESM-based simulation"
"TUND",19,19.5,12,0,"ESM-based simulation"
"TUND",19.5,20,12,0,"ESM-based simulation"
"TUND",20,20.5,11,0,"ESM-based simulation"
"TUND",20.5,21,9,0,"ESM-based simulation"
"Northern Hemisphere",0,0.5,1941,0.0939261694120632,"ESM-based simulation"
"Northern Hemisphere",0.5,1,2074,0.0259136247450081,"ESM-based simulation"
"Northern Hemisphere",1,1.5,2047,0.018426831574636,"ESM-based simulation"
"Northern Hemisphere",1.5,2,2043,0.021350153892488,"ESM-based simulation"
"Northern Hemisphere",2,2.5,1992,0.0287465170397397,"ESM-based simulation"
"Northern Hemisphere",2.5,3,1981,0.0186270229127325,"ESM-based simulation"
"Northern Hemisphere",3,3.5,1933,0.0399615283498332,"ESM-based simulation"
"Northern Hemisphere",3.5,4,1886,0.0274514281224602,"ESM-based simulation"
"Northern Hemisphere",4,4.5,1824,0.0345268878846449,"ESM-based simulation"
"Northern Hemisphere",4.5,5,1820,0.0283149425155956,"ESM-based simulation"
"Northern Hemisphere",5,5.5,1804,0.0220975892931153,"ESM-based simulation"
"Northern Hemisphere",5.5,6,1774,0.0151700542953299,"ESM-based simulation"
"Northern Hemisphere",6,6.5,1705,0.0207376223687475,"ESM-based simulation"
"Northern Hemisphere",6.5,7,1648,0.0462201409407213,"ESM-based simulation"
"Northern Hemisphere",7,7.5,1621,0.0332989449478142,"ESM-based simulation"
"Northern Hemisphere",7.5,8,1535,0.0815868862090155,"ESM-based simulation"
"Northern Hemisphere",8,8.5,1482,0.105223031115608,"ESM-based simulation"
"Northern Hemisphere",8.5,9,1472,0.0411946417561445,"ESM-based simulation"
"Northern Hemisphere",9,9.5,1372,0.052088994924287,"ESM-based simulation"
"Northern Hemisphere",9.5,10,1303,0.110780176559996,"ESM-based simulation"
"Northern Hemisphere",10,10.5,1207,0.0605244676604225,"ESM-based simulation"
"Northern Hemisphere",10.5,11,1122,0.113479603996979,"ESM-based simulation"
"Northern Hemisphere",11,11.5,1061,0.27603975819153,"ESM-based simulation"
"Northern Hemisphere",11.5,12,986,0.210652219946919,"ESM-based simulation"
"Northern Hemisphere",12,12.5,892,0.105443112273418,"ESM-based simulation"
"Northern Hemisphere",12.5,13,821,0.367747574912493,"ESM-based simulation"
"Northern Hemisphere",13,13.5,723,0.119808943617106,"ESM-based simulation"
"Northern Hemisphere",13.5,14,626,0.215129619742737,"ESM-based simulation"
"Northern Hemisphere",14,14.5,525,0.250205245903967,"ESM-based simulation"
"Northern Hemisphere",14.5,15,437,0.126508292162681,"ESM-based simulation"
"Northern Hemisphere",15,15.5,372,0.120460589184987,"ESM-based simulation"
"Northern Hemisphere",15.5,16,314,0.0816811118834517,"ESM-based simulation"
"Northern Hemisphere",16,16.5,275,0.0748048110240045,"ESM-based simulation"
"Northern Hemisphere",16.5,17,235,0.112252852734767,"ESM-based simulation"
"Northern Hemisphere",17,17.5,209,0.0660805787546638,"ESM-based simulation"
"Northern Hemisphere",17.5,18,183,0.0995814049253228,"ESM-based simulation"
"Northern Hemisphere",18,18.5,159,0.079398533621476,"ESM-based simulation"
"Northern Hemisphere",18.5,19,138,0.0738828417015118,"ESM-based simulation"
"Northern Hemisphere",19,19.5,143,0.00868659388668066,"ESM-based simulation"
"Northern Hemisphere",19.5,20,123,0.0538038596993336,"ESM-based simulation"
"Northern Hemisphere",20,20.5,111,0.053704776723437,"ESM-based simulation"
"Northern Hemisphere",20.5,21,105,0.0383807408995925,"ESM-based simulation"
