"Longitude","Latitude","Timeslice","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
0,87.1590957641602,0.1,-18.0741945231954,1301.56640933704,-3.73426907261213,-32.9041264851888,-1.24444171786308,-32.9041264851888,153.865418434143,19.2075328826904,8.60175228118896,26.0207667114984,53.0280570983886,28.0317993164063,51.315294265747,28.0317993164063
3.75,87.1590957641602,0.1,-18.0518963461121,1297.95851980887,-3.74989407261213,-32.8357671101888,-1.27894692619641,-32.8357671101888,155.379845619202,19.7930278778076,8.54074382781982,27.066548888688,54.1822566986084,27.9366874694824,52.6454896926879,27.9366874694824
7.5,87.1590957641602,0.1,-18.0182049398621,1293.55403515507,-3.76161282261212,-32.7524337768555,-1.31540525952975,-32.7524337768555,157.29273223877,20.4428329467773,8.513671875,28.2156255387387,55.6063022613525,27.9118757247925,54.0784721374512,27.9118757247925
11.25,87.1590957641602,0.1,-17.9908611898621,1289.33654179029,-3.77723782261212,-32.6795171101888,-1.35446775952975,-32.6795171101888,159.34872341156,21.1837635040283,8.48255157470703,29.4179270234918,57.1028652191161,27.8979444503784,55.5231752395629,27.8979444503784
15,87.1590957641602,0.1,-17.9679119711121,1285.29131111418,-3.79611803094546,-32.6137619018555,-1.39678546786308,-32.6137619018555,161.746111869812,21.9583301544189,8.45523262023926,30.5993157273353,58.6724071502685,27.9106149673462,57.093056678772,27.9106149673462
18.75,87.1590957641602,0.1,-17.9495200440288,1280.67309528483,-3.83583157261212,-32.5356369018555,-1.43975421786308,-32.5356369018555,164.352054595947,22.7302875518799,8.44238376617432,31.6968417876623,60.301420211792,27.9628553390503,58.6711492538452,27.9628553390503
22.5,87.1590957641602,0.1,-17.9304770827293,1276.73483242829,-3.85992010434468,-32.4744389851888,-1.48207195599874,-32.4744389851888,167.130808830261,23.5409851074219,8.46054935455322,32.8392703143423,62.0346660614014,28.0033540725708,60.372522354126,28.0033540725708
26.25,87.1590957641602,0.1,-17.915014843146,1272.86885529586,-3.88921697934468,-32.4204025268555,-1.5256917476654,-32.4204025268555,170.375697135925,24.3973617553711,8.47962951660156,33.9416759550543,63.9968395233154,28.1444292068481,62.1866493225097,28.1444292068481
30,87.1590957641602,0.1,-17.9060628612836,1269.05292286967,-3.93153468767802,-32.3702716827393,-1.5686604976654,-32.3702716827393,173.751899719238,25.2246627807617,8.51353073120117,34.9456708618477,65.9888477325439,28.2567100524902,63.9567222595214,28.2567100524902
33.75,87.1590957641602,0.1,-17.8936930795511,1266.00463380886,-3.95106597741445,-32.3292560577393,-1.60576991240183,-32.3292560577393,177.131107330322,26.088134765625,8.55817031860352,35.7338742812417,67.6971225738526,28.423734664917,65.622262954712,28.423734664917
