"Longitude","Latitude","Timeslice_younger","Timeslice_older","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
0,87.1590957641602,-0.1,0.1,18.5141070749223,12.3076376768961,39.6648128884602,13.0560885714951,28.8898556038393,13.0560885714951,5.72056572477238,10.9775409400276,3.79583730570499,5.00119934760699,7.52023579332909,2.47732557759738,9.30026260414222,2.47732557759738
0,87.1590957641602,-0.2,0.1,84.9728860148834,53.3779516184202,206.657921734999,66.8992406265089,420.054666093982,66.8992406265089,18.6372711941711,12.0061420343964,39.0712394830324,22.2493775867614,12.2044643304826,29.6484743279052,15.9495395348938,29.6484743279052
0,87.1590957641602,-0.3,0.1,135.466729529276,73.7660356003207,378.289644362313,109.548930264254,986.922684876354,107.762685581843,54.7169288925592,47.9529415222757,58.2911575480535,22.740532691155,46.4244841031794,66.6077590289435,43.1219298934551,76.802981968241
3.75,87.1590957641602,-0.1,0.1,18.550500562371,12.4815230506717,38.978690120307,13.1724919295122,27.3977617721281,13.1724919295122,5.39346632522507,11.0561115101147,3.55008403104249,5.22319289588324,7.14264567666115,2.08912552647783,8.75985504864936,2.08912552647783
3.75,87.1590957641602,-0.2,0.1,84.9642420038961,53.7365905000124,204.338448208897,67.101962359435,405.92209924433,67.101962359435,17.8382570557714,10.7993189330468,39.5068168933934,21.0883050345586,11.7917322591139,28.3602059689205,15.0550288239926,28.3602059689205
3.75,87.1590957641602,-0.3,0.1,135.298657083152,74.0022159567215,375.602250488062,109.570792493604,955.205661529767,107.806604478673,54.1410389967317,45.9212640886356,62.1266603682006,24.7590449932967,44.2828479506905,68.4935416235691,42.6209653833302,77.0467205621413
7.5,87.1590957641602,-0.1,0.1,18.5499581568181,12.6122085628893,38.2688022829777,13.2477503111514,25.9454830536351,13.2477503111514,5.01024280202714,11.0556682016647,3.01886407791351,5.25778001787582,6.60343241995531,1.53410294336871,8.33972602391844,1.53410294336871
7.5,87.1590957641602,-0.2,0.1,84.9442571354186,54.1228415031942,201.971110506547,67.3223867227807,391.602784798466,67.3223867227807,17.1438245637401,10.0337546459526,37.2860030970409,20.0660934512836,11.1879215950406,26.0894603929388,14.3292133015649,26.0894603929388
7.5,87.1590957641602,-0.3,0.1,135.113539964183,74.199652884382,373.168668545618,109.567315124778,923.731918405102,107.826467136137,54.31880910174,43.8261877384557,67.7534537021102,26.565949346667,43.4597036117213,72.8254637369637,42.3562043169511,79.8642894085064
11.25,87.1590957641602,-0.1,0.1,18.5627720353525,12.7166682974535,37.7485444575616,13.3171535743394,24.5723609653729,13.3171535743394,4.91138247813171,10.8954815483302,2.7996087513773,5.25562395434528,6.46084434788632,0.98563178656361,8.38238827099912,0.98563178656361
11.25,87.1590957641602,-0.2,0.1,84.9132322257123,54.4471839276865,199.739523167459,67.5104526350711,378.146081120618,67.5104526350711,17.1624916114441,9.46312632733272,35.8370022260697,20.0405613159898,10.8632316941215,24.7390679590875,14.0174017402773,24.7390679590875
11.25,87.1590957641602,-0.3,0.1,134.923547983596,74.3265392874485,370.694271675483,109.534872914308,893.630959725322,107.82002364727,53.966808528379,40.388378117,72.8087491286851,29.3432368853185,40.6699641767131,73.97882926314,41.5303903868945,82.0785000161523
15,87.1590957641602,-0.1,0.1,18.5928219047297,12.8521185941457,37.1148948456782,13.4198596206735,23.3618045055841,13.4198596206735,4.73275513593097,10.7275238221726,2.35441104251153,5.34031780459067,6.23233999124676,0.461454074930639,8.2033599175791,0.461454074930639
15,87.1590957641602,-0.2,0.1,84.8378008612113,54.8145032977056,197.099688544797,67.6924788523746,363.892979247564,67.6924788523746,17.7415964665409,9.29137912748535,36.1096617464966,20.8690067517739,10.7113500857364,25.1980761146546,13.7739295503762,25.1980761146546
15,87.1590957641602,-0.3,0.1,134.636616306944,74.5084160821084,367.39283606634,109.470255791897,861.523191321986,107.779896127283,55.4409370994307,37.9752458395404,78.3334089033167,33.2309804817396,39.6137977407219,81.3589583495422,41.1920698300111,86.2564310521133
18.75,87.1590957641602,-0.1,0.1,18.6064323980743,12.970018382014,36.5778794969844,13.4881017620387,22.121956396934,13.4881017620387,4.55810702395709,11.1735651033291,2.26833584844746,5.84096017586817,6.11409452843904,0.000798057949890677,8.27890612398897,0.000798057949890677
18.75,87.1590957641602,-0.2,0.1,84.7007581080745,55.1538360774725,193.59940841709,67.8210057378209,349.370039364756,67.8210057378209,18.2802498984249,9.61677546024363,36.003635590972,20.2060643545264,11.1357658319414,24.9654797305388,14.223849391394,24.9654797305388
18.75,87.1590957641602,-0.3,0.1,134.242298820398,74.7351582682595,362.044595539749,109.376937258066,828.89296072829,107.708531822289,57.5112260599406,35.9523788146175,89.8006219951224,37.4773297133218,38.6453766024949,88.0509238731501,41.0196189574386,91.8744263319019
22.5,87.1590957641602,-0.1,0.1,18.6080386846036,13.0509589270737,36.0628742160514,13.5435917499781,21.0510300914574,13.5435917499781,4.522971282833,11.7863055182131,1.85235262151537,6.59627036482569,6.30288416586485,0.55785989784309,8.3532629826899,0.55785989784309
22.5,87.1590957641602,-0.2,0.1,84.5783051618351,55.3758658796756,191.278012832662,67.9067136620952,337.725189651806,67.9067136620952,19.4421702721817,9.29188310467715,35.4815725677048,21.5563240713557,11.1799426092049,25.9720583054318,14.2408887942785,25.9720583054318
