"Biome","Timeslice_younger","Timeslice_older","Site_number","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"SAVA",0.5,1,23,0.326874616479132,1.05424560840608,0.142005507476476,0.369983665100573,0.608930699162358,0.252295382747781,1.20577632125423,3.19240075850704,7.68962389787699,2.91289262501399,1.68266795953281,4.42240341138448,3.42438693709378,3.07154182569779
"SAVA",1,1.5,21,0.362015510552305,1.9723718622162,0.298554582851062,1.40067950070471,0.173364943803414,0.95039539816223,2.26450062687065,1.85115791579375,8.14389887377033,2.96981893743473,1.12241604018616,8.21322361337145,2.10048605194296,9.59273130473423
"SAVA",1.5,2,24,0.504338486387834,0.876242497200686,0.56197623775027,0.939732873048021,0.326161879741082,0.805302716430414,2.7659878684404,1.51209897487644,11.8724190459136,2.27280006746911,1.98767908868438,7.24168871076567,9.98980155812592,4.49001203224974
"SAVA",2,2.5,21,0.243651558334199,1.48862254712012,0.22765113953063,0.528378148320948,0.506634255952772,0.281927132773214,1.91709526776112,2.58928783676249,6.3878492272932,1.37683775124609,1.2739555089081,10.2153250713149,3.62170984305473,3.50026828954805
"SAVA",2.5,3,22,0.12888786924227,1.49329551113947,0.364776435235301,0.555327711488391,0.391499513509974,0.22989957170722,1.10989374245543,2.67948578030751,4.46866628864322,2.53209402153231,2.40357290754128,4.23868544333861,1.54218872249524,3.15692485665023
"SAVA",3,3.5,17,0.434294983084973,0.724840441824787,0.417101163222869,0.784075446255764,0.270404670996316,0.764409842044699,2.06927283947838,2.59036219489493,9.63627930305183,2.30981153804284,1.54657057292183,6.93150883843618,3.68737456169873,4.41007610848805
"SAVA",3.5,4,16,0.33266562561823,1.95554515791439,0.399615315689078,0.944374716317808,0.337751925360208,0.725936910639583,0.942029277549381,2.19392056351179,10.7537743697536,1.77675568961362,2.45035458982148,10.1430237784699,6.28090916063547,3.74100203142123
"SAVA",4,4.5,18,0.384794712962444,2.27938936854396,0.537831848237109,0.53830186607673,0.357632473713968,0.109874532849887,0.668039555989545,2.77546828361133,9.45385828034016,2.5544918865938,1.20443346984195,1.13695132580639,9.61539161778902,2.95099366598902
"SAVA",4.5,5,22,0.445286357925988,1.47222410297488,0.466619917496898,1.2704624923057,0.161966033478176,0.408171084556934,3.10018246175076,1.79895002971475,7.62962441501094,2.75023170451426,2.24509257501123,2.38440834789624,3.80789571464866,5.45620864358223
"SAVA",5,5.5,19,0.466373188165193,3.44512745418805,0.274747267673546,0.460811064140954,0.280925052430885,0.759153575346948,1.46482693146871,4.50972189939024,17.2796777324464,1.31908057813226,2.88922703129476,5.83824073476081,3.28547606602358,14.0254287474092
"SAVA",5.5,6,16,0.601794013403303,2.55193908009795,0.504429720650452,1.15531880561838,0.160258868594064,1.68967421060887,3.0573960470237,1.22765177880835,11.1551737067175,2.41541461955294,4.39566061233654,7.79936902159004,11.0023117143634,13.175209430717
"SAVA",6,6.5,17,0.596483108852586,6.10008649682254,0.325990932254444,1.05518645687283,0.0945719184865249,1.05518645687283,1.29530172462396,2.63890880977274,7.07778469115264,2.41243040368776,1.38664837113214,8.67581231842115,1.68559707323588,2.2498320525471
