"Timeslice","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
0,0.0550233094622524,0.0143111185001032,0.0729287164820822,0.0462160945681624,0.0941958594896296,0.074603363850398,0.0386200446558351,0.116692827292515,2.01174090229969e-08,0.0469805414941023,0.0744044709944009,0.0136694442053711,0.00393592880672715,0.0668037828392851
0.5,0.0102787830975406,0,0.0212988808281389,0,0.0475690362279668,0.00729286432773893,0.0351465858807078,0.0999816009454051,5.08651595719536e-08,0.0698000462788798,0.0720755732047427,0.00766249235657265,0.00243201644306226,0.00406720665366261
1,0.0247495603259015,0.030344359512078,0.00288185643285997,0.0309048712604092,0.00781279613490425,0.0446680906048828,0.0142081281829767,0.0305315455469061,3.23125237286983e-08,0.0646440915767914,0.0223486874502539,0.0166572842996078,6.96492975781011e-05,0.069598747218497
1.5,0.0454421393731292,0.00847387152842203,0.192591046653897,0.023908252227812,0.0195579244159861,0.0665593260070832,0.0376952799839316,0.0594175352423298,2.31281869094866e-08,0.0446021568120314,0.0212894646545296,0.0194716774544441,0.00155002780525718,0
2,0.0144292087093564,0.0285208364659196,0.0248771914168792,0.0238640404484278,0.0455986529564007,0,0.0326136700704628,0.0814106622142578,3.78131508636491e-08,0.050045419706897,0.0206140876420042,0.0188184956690791,0.00197121827932585,0.036814542236849
2.5,0.00688000339502472,0.0482309891114232,0.032896244878877,0.0376335713434185,0.0301765140281456,0.0111163826319711,0.0248995424836362,0.0710403396269594,3.392079332585e-08,0.0256963445288971,0.0424530049705507,0.0190114833089634,0.0021895802395861,0.0335274920947657
3,0,0.0127969897335795,0,0.0241934000936174,0,0.0301617065972878,0.0394495403874209,0.0683116888005661,2.21174541420295e-08,0.0680392023683262,0.0761975137699326,0.0194864546404378,0.00270787553126926,0.0191257695482267
3.5,0.0157846958719613,0.0779076851097699,0.0196482158146187,0.0542830011370665,0.0121527159333947,0.0447113941823788,0.0108206913917239,0.093203009807588,2.63504948582397e-08,0.0614551088002223,0.0777755554500263,0.0257959127361242,0.000540698468560375,0.0311944034153022
4,0.0115988958787569,0.0460613117559863,0.0106051001231357,0.043855119290934,0.0461468892835893,0.0500320986018899,0.00215258328481141,0.0734896208865506,1.85213172684806e-08,0.0582565522943823,0.025186937090088,0.0137902992710262,0.00174141657576732,0.0671972979235039
4.5,0.0030537809512187,0.115629469610272,0.0328957852509607,0.0562267267346262,0.0371372095447768,0.0820959974030202,0.0171947776189873,0.106218072367808,5.01831958441278e-08,0.0367298496092229,0.0694747561579767,0.0241636736459708,0.00163320963328245,0.0703186009914403
5,0.00219098416912899,0.0483560744410344,0.00581759257197488,0.025564419524035,0.020927087155648,0.0443841627161724,0.0503610399314715,0.0911791262518054,4.29746669172955e-08,0.0751678173963681,0.0954916725847106,0.0273391466404774,0.00184791931042521,0.0823027230957038
5.5,0.0284265008776859,0.114834050406847,0.0147526174566985,0.0978875009603837,0.02873960277098,0.0740735793972972,0.047626922318586,0.0491822735631312,5.29531859450232e-08,0.0747946129011663,0.0630588849594798,0.0273830777474857,0.00331519121435007,0.0712161502820777
6,0.00963533377577118,0.0855194797260658,0.0193089265836689,0.0273919115735272,0.01957012100061,0.0608516840227647,0.0315293209790743,0.0584214913172182,1.75671338888241e-08,0.0420674243965748,0.0499807595851456,0.0150159745314868,0.00103783535375846,0.0166115920309442
6.5,0.0290915527832284,0.0784319586956751,0.0178673057192877,0.0882070045719747,0.0983232206814837,0.0602545484994262,0.0368042439609046,0.0690273981002828,3.69849133559769e-08,0.0476969397451359,0.0523926718609861,0.0171555173633172,0.00255291759133097,0.03600482837281
7,0.0226420614888716,0.0711849219821601,0.0121024952308335,0.0236114788790837,0.0426337592118856,0.0548627311842027,0.0546479818732867,0.0453470608461561,9.77777470502085e-09,0.0393661422102928,0.0648789484647674,0.0190785667375336,0.00101901095203061,0.0384472316245957
7.5,0.0545695981981401,0.0762085233036931,0.0220545475342485,0.262288886417969,0.0661303866342217,0.10593511692049,0.107849077833483,0.0877710287707919,5.38389425502525e-08,0.118304915385477,0.127084598808922,0.0372445142030059,0.00442058229925972,0.184665066993544
8,0.0342624373474011,0.202337654937877,0.0455351542488129,0.208241801897688,0.210099372704907,0.167621812556602,0.0821460264487306,0.115075532961831,7.34431734570891e-08,0.100338341609023,0.0934495111863133,0.0310277127726366,0.00547212754438009,0.0607449749827475
