"Timeslice_younger","BIO","Value","Source"
"5.5","BIO1",0.892419900668863,"Tnon-growing state"
"5.5","BIO9",0.693639902047405,"Tnon-growing state"
"5.5","BIO11",0.902060585922373,"Tnon-growing state"
"6","BIO1",0.883472819586052,"Tnon-growing state"
"6","BIO9",0.665943811457952,"Tnon-growing state"
"6","BIO11",0.891886177222339,"Tnon-growing state"
"6.5","BIO1",0.876577255942718,"Tnon-growing state"
"6.5","BIO9",0.689011825290251,"Tnon-growing state"
"6.5","BIO11",0.886643454861545,"Tnon-growing state"
"7","BIO1",0.904185716178428,"Tnon-growing state"
"7","BIO9",0.662643423339264,"Tnon-growing state"
"7","BIO11",0.880764585077437,"Tnon-growing state"
"7.5","BIO1",0.893900375476387,"Tnon-growing state"
"7.5","BIO9",0.65969625372482,"Tnon-growing state"
"7.5","BIO11",0.852460551981448,"Tnon-growing state"
"8","BIO1",0.895550774662435,"Tnon-growing state"
"8","BIO9",0.595126541334094,"Tnon-growing state"
"8","BIO11",0.865016311777762,"Tnon-growing state"
"8.5","BIO1",0.907925298633893,"Tnon-growing state"
"8.5","BIO9",0.563700541137855,"Tnon-growing state"
"8.5","BIO11",0.862568318988699,"Tnon-growing state"
"9","BIO1",0.889757879304178,"Tnon-growing state"
"9","BIO9",0.596438616956225,"Tnon-growing state"
"9","BIO11",0.855330020801526,"Tnon-growing state"
"9.5","BIO1",0.849904323626684,"Tnon-growing state"
"9.5","BIO9",0.560146842407142,"Tnon-growing state"
"9.5","BIO11",0.81954534892316,"Tnon-growing state"
"10","BIO1",0.78670765288433,"Tnon-growing state"
"10","BIO9",0.514220071018727,"Tnon-growing state"
"10","BIO11",0.767212491324082,"Tnon-growing state"
"10.5","BIO1",0.728113937202376,"Tnon-growing state"
"10.5","BIO9",0.534848514589096,"Tnon-growing state"
"10.5","BIO11",0.755762334764216,"Tnon-growing state"
"11","BIO1",0.647225676699613,"Tnon-growing state"
"11","BIO9",0.487203779131799,"Tnon-growing state"
"11","BIO11",0.669395769743522,"Tnon-growing state"
"11.5","BIO1",0.448303772524146,"Tnon-growing state"
"11.5","BIO9",0.313288292260717,"Tnon-growing state"
"11.5","BIO11",0.471308032479887,"Tnon-growing state"
"12","BIO1",0.338102288498414,"Tnon-growing state"
"12","BIO9",0.338297848934294,"Tnon-growing state"
"12","BIO11",0.29451167586239,"Tnon-growing state"
"12.5","BIO1",0.458275280548078,"Tnon-growing state"
"12.5","BIO9",0.336945736342382,"Tnon-growing state"
"12.5","BIO11",0.447805953324518,"Tnon-growing state"
