"Longitude","Latitude","Timeslice_younger","Timeslice_older","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
-37.5,83.4789352416992,-0.1,0.1,14.8520614015858,5.70688074833657,61.3870449713408,1.71170077652705,349.970225728416,8.98193416604438,13.4509097351893,10.2281937143562,19.8557828339841,9.78591520929072,7.96654767427388,18.1688192318791,2.66940081118504,15.8388511903301
-37.5,83.4789352416992,-0.2,0.1,65.148306782275,30.2868112480281,104.220607988683,45.8743562318777,1705.4282315028,47.9631130740532,70.9560900725056,65.5179304931546,101.252149491219,26.5497545694092,54.7201787542548,106.350172697909,19.8283725036128,110.550779324352
-37.5,83.4789352416992,-0.3,0.1,111.653187204374,44.381576302991,332.053918384802,81.3491989218026,3438.18050083652,82.0724632650133,131.462312190722,108.319017706154,227.913519239911,38.2729138289369,101.06461766517,229.904437034036,32.9714425806424,239.823722053422
-33.75,83.4789352416992,-0.1,0.1,15.1187077522337,5.95263947154597,64.6957033353336,9.25239794383859,264.346346309143,9.23230293396764,11.3294845350717,7.48434920033296,21.4857603480821,13.9185292524491,4.88238494366655,21.8516435620721,0.856407125668543,18.2805942331958
-33.75,83.4789352416992,-0.2,0.1,66.0943517568383,30.6352111879728,112.216120204029,44.9491250032288,1289.10886886162,48.5791635507083,62.1099189362675,53.435020750718,89.4230111735114,28.1065810634029,44.7096142867992,101.320903077127,14.2199025036714,101.184509467235
-33.75,83.4789352416992,-0.3,0.1,113.317780572838,44.8644550943044,356.308108471102,82.3711714487575,2598.84387331717,82.9919208437507,113.259019291833,94.9515940435531,183.02501968315,35.5291744282952,88.8546085917294,185.834370842303,23.894720724504,198.536181225322
-30,83.4789352416992,-0.1,0.1,15.5095894877472,6.24109456676819,66.5140194483553,9.64639612589981,215.067864090511,9.61499598643383,10.7221457017366,5.40546859055425,20.0557215637485,16.1101772389108,3.52997711889494,22.8896459867665,0.249438814684723,19.8721119421544
-30,83.4789352416992,-0.2,0.1,67.1169338542955,30.8594745379564,120.622981292835,45.9185287256723,1047.41091297106,49.3047236575318,60.0521868815747,50.4449598818253,81.7376026655035,27.1506277783869,42.7260995396316,96.7762036048605,13.0251674121096,96.7047685348707
-30,83.4789352416992,-0.3,0.1,115.151989467592,45.0966642562673,373.270656121407,83.4610741253087,2121.39104666595,83.8732489809,106.835296103669,89.448752761468,159.76016384956,33.1636532553261,83.7816001747853,166.082990586301,21.2503667663924,177.305922614095
-26.25,83.4789352416992,-0.1,0.1,16.2782158472169,6.92124629962103,73.2840066738006,10.3571416322424,170.661510348055,10.3486242111502,11.6239228707403,3.92489558255246,20.9065247542297,18.3750803070936,3.19313325389247,24.5487721965992,0.242613064621994,20.9590753129263
-26.25,83.4789352416992,-0.2,0.1,69.3227116628601,32.1346167884816,140.842927055653,47.6858839419821,835.560787441569,50.8938654235935,62.1630129390783,58.8810676433921,85.151755694131,22.486028098959,48.1825278631386,96.9636282351425,15.8170421657541,94.372511167923
-26.25,83.4789352416992,-0.3,0.1,118.902051717735,47.441085000077,420.242408597692,86.6287421091333,1697.92217526741,86.9424071788625,108.73981607615,97.1027679024787,161.381532569112,28.8410426477786,87.5011903455827,161.912879897206,24.7387185305937,171.082706282791
15,79.7770462036133,-0.1,0.1,38.7378045326248,15.6693736582033,64.7231747044278,27.1419607036617,99.6217241333991,27.1553426279848,1.37497877688448,0.507495390013419,13.9740520745693,28.3329388308693,3.0014646546151,7.34312780177269,8.61036736001821,5.94907139461173
15,79.7770462036133,-0.2,0.1,126.771668974689,39.9531191800165,238.497190299514,81.6077172894145,372.719523788809,81.6040062903049,18.648622100612,37.2974645436023,23.7302022724243,11.3023521441988,29.5805137792056,21.4113273324414,9.65498336369065,15.8415884390806
15,79.7770462036133,-0.3,0.1,190.31732084222,47.4227958992379,369.562885109855,168.994800497191,636.675113608497,117.396166278261,57.9818644201103,70.7547044677642,50.9375344581367,5.18261589979081,63.3825500858274,43.8626826421542,4.34770474460184,77.3266871039709
18.75,79.7770462036133,-0.1,0.1,40.0172459351402,17.1787174144541,196.903296286825,29.1640050814476,124.702638486436,29.2287082665846,4.6231609098413,1.72021704757097,17.4846712194601,22.2461926225843,1.32149191063843,12.1919427049309,6.34498945990682,10.9610489094663
18.75,79.7770462036133,-0.2,0.1,124.957226975123,39.1450519984239,534.475511097575,80.7142718282692,457.452967002231,80.8969543980658,21.3898624033825,31.9868549368306,27.2911864543222,13.4108565281872,32.6822241128281,26.6282512258362,4.55252093188302,19.7675055268846
18.75,79.7770462036133,-0.3,0.1,187.971297731895,46.3672946707243,791.105793672903,167.833166137955,778.361266967377,116.566802309487,64.1067984312152,65.2835572931869,63.5231374022247,1.65742164448605,65.7855766158752,61.3131218265094,4.00651953522423,84.4469146064965
101.25,79.7770462036133,-0.1,0.1,21.1163216753782,11.7222520827437,219.655236082163,24.2343724122194,182.231841722859,14.9108825688785,15.0774115723023,11.9589934145237,37.6491029051689,11.9915009383827,9.7143373545914,28.6350185044266,8.10095937802023,30.5462976434786
