"Biome","Timeslice","Site_number"
"NH",1,2191
"NH",1.5,2205
"NH",2,2166
"NH",2.5,2129
"NH",3,2098
"NH",3.5,2040
"NH",4,1987
"NH",4.5,1951
"NH",5,1945
"NH",5.5,1908
"NH",6,1871
"NH",6.5,1818
"NH",7,1771
"NH",7.5,1715
"NH",8,1639
"NH",8.5,1601
"NH",9,1553
"NH",9.5,1460
"NH",10,1389
"NH",10.5,1303
"NH",11,1222
"NH",11.5,1159
"NH",12,1047
"NH",12.5,960
"NH",13,881
"NH",13.5,779
"NH",14,684
"NH",14.5,567
"NH",15,472
"NH",15.5,404
"NH",16,348
"NH",16.5,299
"NH",17,259
"NH",17.5,238
"NH",18,205
"NH",18.5,179
"NH",19,168
"NH",19.5,154
"NH",20,135
"NH",20.5,127
"NH",21,105
