"Biome","Timeslice_younger","Timeslice_older","Site_number","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Northern Hemisphere",0,0.5,1941,3.93117918451781,0.972029807275557,3.69072922840969,1.78843061985094,1.34340206908595,3.04813828291397,1.65706836040635,3.54340838218579,6.30033446521394,2.45549994368094,2.40567968879363,4.41872865569099,4.46071426032379,4.33086571954741
"Northern Hemisphere",0.5,1,2074,1.53504510181181,0.824646370195846,1.89465129819302,1.08407674294683,0.968668389771631,1.44838266445956,1.60604966528777,3.35814803306856,9.1368016668619,2.75986621768128,2.37917309860285,3.75268560089711,3.60568291810459,2.94561594589258
"Northern Hemisphere",1,1.5,2047,2.30997614561133,1.13714856915676,1.25396727048595,1.55508075336547,0.64915268864459,2.33667243577136,1.29850238786408,2.58822599131714,7.42532872546009,2.6910961573145,1.81320142392862,4.75001650245459,2.26258740268801,4.3925796990005
"Northern Hemisphere",1.5,2,2043,3.41809367288175,0.911914763034724,7.85349417967643,1.44844916134372,0.743546748263215,2.85695719190794,1.64348527509953,2.90845554385961,6.5780774732066,2.42377707806011,1.80114577052396,5.06207277682161,3.10423885326106,2.85581032628523
"Northern Hemisphere",2,2.5,1992,1.75730639440314,1.11836896823773,2.01913212588681,1.44777535412342,0.952832677163252,1.27505456905598,1.56884580946277,3.15227094653373,7.93275929121613,2.49637925156651,1.79345889745689,4.98964882493872,3.3437016471537,3.66869077659722
"Northern Hemisphere",2.5,3,1981,1.35303553446436,1.32135450303287,2.29809572826701,1.65762914120042,0.828886963961869,1.5392554841955,1.45553952056239,3.0373057403259,7.57369092699627,2.17161158648441,2.04202078557782,5.01104704494138,3.4678487214659,3.59611133821919
"Northern Hemisphere",3,3.5,1933,0.984601404900009,0.956436511629943,1.15371440948895,1.45279494189155,0.586362268097699,1.99190201385828,1.66925212090899,3.00705596725619,6.48483779572326,2.73638010327143,2.42608738992015,5.06371125209963,3.76251929511143,3.27811529650334
"Northern Hemisphere",3.5,4,1886,1.8298946918524,1.62698075141971,1.83722862846314,1.91137387088767,0.684032056361553,2.33770162351903,1.24874719683549,3.28300069590547,6.87533404147799,2.64856154428455,2.44404803392263,5.76329580844754,2.53039676089737,3.54459576689472
"Northern Hemisphere",4,4.5,1824,1.60573904999008,1.29901002269082,1.52264036165683,1.75244830448377,0.95723878081025,2.46415777597089,1.12142869577015,3.06445842749638,6.15309566459671,2.6058992369714,1.84550525469195,4.43212890912108,3.21305064395356,4.33955469676751
"Northern Hemisphere",4.5,5,1820,1.14813579028361,2.01545955916797,2.29807973891616,1.94099711519404,0.884829163302706,3.22621425483262,1.34237075276106,3.42728544099876,9.0738907965655,2.31877634146642,2.34957163136545,5.5823152484024,3.15153088422181,4.40847437060457
"Northern Hemisphere",5,5.5,1804,1.10193177508937,1.32264269764926,1.35609447700556,1.47368988899058,0.754550530102142,2.32992437657671,1.82952189941069,3.26056395988569,8.40890700074164,2.83146148279003,2.64568584677394,5.93440758856319,3.273601496759,4.67308878601775
"Northern Hemisphere",5.5,6,1774,2.50688162862842,2.00726791320269,1.66692252435696,2.57592588005237,0.817338696149926,3.03554699832348,1.78936276065568,2.79498762040452,9.329421231469,2.82648368582572,2.27654873215082,5.93927861291111,4.1078013449178,4.4282926333676
"Northern Hemisphere",6,6.5,1705,1.50058746027106,1.70537102209537,1.82542557133637,1.50154168222622,0.743644770618406,2.72130476922066,1.55291872373145,2.89741341915437,6.06507264462184,2.38996884829541,2.12769870047468,4.56803019736359,2.81303797622839,3.22260120809598
"Northern Hemisphere",6.5,7,1648,2.54249611976528,1.63237999698254,1.77527504527989,2.42839080108814,1.3765731310861,2.70711276477538,1.63039760135945,3.01499030744032,7.85635472555705,2.46505525473716,2.15515012859476,4.80525994040868,3.67441981632925,3.65081195669531
"Northern Hemisphere",7,7.5,1621,2.19711653566688,1.55774619533573,1.57473113962825,1.44392620325538,0.929004213975376,2.57896648589054,1.89248916002328,2.75247052248917,5.34650749913145,2.35393917973702,2.2972639724976,5.01848516877117,2.80233558833352,3.70474123937882
"Northern Hemisphere",7.5,8,1535,3.90688229030586,1.60948188806166,1.92093912724094,5.08147625806349,1.11784353498246,3.79279399584672,2.67391501548578,3.22278185365102,9.41113190995833,3.40682356491948,3.00526399231189,7.03270193755524,4.73625819243265,6.93329204122435
"Northern Hemisphere",8,8.5,1482,2.81940446473156,2.90842612753471,2.73777301745119,4.25777460449606,2.27490344349607,5.25888975546201,2.29638465537151,3.52547908686632,11.2196140586683,3.16718562498753,2.62244277636908,6.34339103246477,5.33410163335527,4.19708471455514
"Northern Hemisphere",8.5,9,1472,3.17095937390866,1.84686773786302,2.31021744488784,2.12270442190404,1.57267430884217,2.57175814306124,2.71165856758377,3.10354375950176,9.64063576009188,2.69915108104438,2.78981443717323,6.88507202682098,6.07959380876493,4.0389881949285
"Northern Hemisphere",9,9.5,1372,5.35792226404511,1.28735721111945,2.63673925082743,3.40300684800339,1.13699455293559,4.79961222152164,2.67704605699976,3.71261504833351,8.08284224812014,3.28870154522636,3.01441010350722,7.40278762067245,5.84482661388251,5.50755521091393
"Northern Hemisphere",9.5,10,1303,10.3347462313244,1.39188768134551,4.9370619335979,5.078218310298,2.17925041569819,6.82841362527325,2.75022426533972,3.85074079910958,10.3396283808786,4.06974732401028,2.78184304812838,7.88064512461938,5.36217792876084,5.88045113634977
"Northern Hemisphere",10,10.5,1207,4.63735923931671,1.8032335265497,3.26092571034583,2.95196601681826,1.62878131313401,4.38515576664474,2.1916990443066,3.94193891571339,10.3625426327977,4.47776390498316,3.54254987030609,6.58251561292787,5.09615556439382,5.60477777342249
"Northern Hemisphere",10.5,11,1122,2.42766756905748,1.54668523870872,6.1213000533491,3.24663076351101,1.20593919507033,3.20710323745727,2.80793186581987,4.30305386669131,8.77926318137644,3.37300614969362,2.87075870791238,7.73809901928542,6.01684303992767,5.27384346226246
"Northern Hemisphere",11,11.5,1061,37.8821668170924,5.45305573760094,20.184776299098,12.4566772420851,6.83556084966228,18.340336736,8.01737430494431,6.95129840284775,22.4183047371795,8.69447880550178,7.16628332525402,18.3630408202659,9.28941893269247,12.7839052344229
"Northern Hemisphere",11.5,12,986,32.3784759400434,6.25672045677115,24.2292681980256,9.87890134374839,6.66644570402373,17.4931038752649,9.33192162838752,8.98872963110569,23.1682917650062,6.29617740065517,9.1658171352986,20.8127601122026,17.3740543128312,18.4830534823071
"Northern Hemisphere",12,12.5,892,7.8903451878785,2.59723301688758,8.36439749916022,2.07784591999404,1.09010991562495,4.26783139150333,2.68673899071361,4.36577897697785,9.52408632172961,3.39101690094221,3.73017726594652,5.6341521402898,5.03206671480966,5.3062477585968
"Northern Hemisphere",12.5,13,821,54.5360472996483,11.1231731470266,35.9413116866748,16.3245223817553,8.62323145842126,25.041861082145,15.7779645650894,13.3357355157264,40.1453937191491,15.1668617532834,12.9404405867248,34.1225450000741,22.0091175976884,24.9362274908466
"Northern Hemisphere",13,13.5,723,4.1671102723236,1.11429490198291,3.08851677427205,3.51005579070141,1.60339010477052,2.45636860758521,2.35164134978605,4.5452466703837,12.3474284092396,4.06608771082443,3.70161889802147,8.92094118862407,6.48276404620555,4.51480378415128
"Northern Hemisphere",13.5,14,626,6.1257248665087,1.54826953268331,27.9376995613042,3.88413991163384,3.17133409676053,3.64641442172515,2.8400160426861,3.45020422112465,11.7508846726507,3.71602232959451,4.43013024583262,8.26008076710801,5.91352477329807,4.77222803827095
"Northern Hemisphere",14,14.5,525,20.2981103546553,2.97683579476616,20.133642580393,8.39068326954969,8.02267109733558,9.39476271001641,6.17234943443171,6.19246787557661,23.3398287368124,8.07542082104517,5.37076235528614,15.5282130208093,11.4412679997309,8.12905572672813
"Northern Hemisphere",14.5,15,437,4.43571789448328,2.37705660184004,7.35620419500991,2.97740582988852,3.08195055007336,3.95970427251238,4.44874646810918,4.8359979626525,15.8075686276207,6.31729669959692,3.71176084671199,10.954989385889,7.28588940633437,6.51261179539363
"Northern Hemisphere",15,15.5,372,7.93447936501878,1.93388054819758,15.5627876346851,6.28961428363015,5.70745042730306,6.23828916460218,5.96795161682095,6.41283905693131,13.9249270560331,4.01980020639261,5.98532918500663,11.2272920629381,7.94466955610574,7.38962425057012
"Northern Hemisphere",15.5,16,314,4.54103818212319,1.44415028583022,27.2756393657592,4.52191658181927,4.0645790841267,4.23410209496776,2.37024385534996,4.49463414014514,46999471.5755316,2.74017327813359,3.25338551850835,11.2854911139108,10.3818281244499,3.26117653904498
"Northern Hemisphere",16,16.5,275,5.44184319148763,1.56875235924123,9.37071075767473,4.6927262660773,3.89813924338378,4.41881025163819,2.99179692304813,4.62140950582296,18.2574631955961,2.7247919254304,3.62776410946954,6.04230334125065,15.5249760797864,3.49448129938807
"Northern Hemisphere",16.5,17,235,2.93337968364817,1.51178912541657,7.86436592404402,3.40318422282973,3.34196663325497,2.51338094026941,3.67037754208176,6.77228994314956,92249588.5931708,4.06718526199572,3.93756667922563,28.2221336772852,7.37299564185992,3.95567708980808
"Northern Hemisphere",17,17.5,209,1.6353695941829,1.52679629824087,4.9477582695623,2.98668198452042,1.85132733629671,2.65277600957241,3.71887124333276,6.96246446197055,5.62229308647041,3.1108038366696,4.01577382452835,113.781785486154,570.760998974573,3.47525043066327
"Northern Hemisphere",17.5,18,183,3.17252924178193,3.40361059147266,16.5180835725823,4.16184219562858,5.31019162379569,5.73415811617349,4.70229144915995,8.62807123333533,26.5985787247342,6.55324903353675,7.08753685759752,15.5986597151111,12.8421859069189,10.9481912321545
"Northern Hemisphere",18,18.5,159,5.05192472274879,2.38487359156835,6.10704003653546,4.19851126433116,3.45271258503286,4.98512517300116,3.62542409132881,8.34048737557961,18.2395613450174,7.20645160359666,7.2471813053773,13.3718152421171,7.56629499630424,10.5434747983476
"Northern Hemisphere",18.5,19,138,2.63098982997729,2.04303604980153,5.98514076838281,2.47693239117015,5.22602427505999,1.64252684305045,1.96771491885969,4.22121471280157,45442074.129204,3.23488480517417,3.78326395127676,11.1043578554894,10.7839324230831,3.43584441547486
"Northern Hemisphere",19,19.5,143,1.76628019180609,2.16709066538367,7.4532824889906,3.52082879670814,3.61660082617473,2.73517359633797,3.4748138096475,4.30369768338792,11.2887914849897,2.6729776669445,4.48630128926528,9.07466702600546,7.77845179655042,4.51735412288951
"Northern Hemisphere",19.5,20,123,1.99772316574743,1.76744350721733,13.8367203679583,2.24572293192686,4.36210096530659,1.33781866581178,2.12340220848968,5.03371479118588,44625905.7457096,3.56935535034558,3.20144925770304,66.2073688822375,72.2633105902267,4.03982707580868
"Northern Hemisphere",20,20.5,111,0.990573358413837,0.926775320290554,2.94896874393152,1.48027954237012,1.05881485048421,1.55364705407014,1.08981122239993,2.24975383675341,4.81231093322042,1.82887405937967,1.5588375346346,2.90307835499797,2.3198624188383,3.04280380533881
"Northern Hemisphere",20.5,21,105,1.38718776816108,1.41063121750639,3.1365058993256,2.32162609256342,2.10376335542215,1.93807086722565,1.17603096861135,3.36234407967066,4.444511848694,2.46158328153214,2.21768542548941,3.49727139463257,2.22298912965586,3.2494993553014
