"Longitude","Latitude","Timeslice","Biome"
-37.5,83.4789352416992,0.1,8
-33.75,83.4789352416992,0.1,8
-30,83.4789352416992,0.1,8
-26.25,83.4789352416992,0.1,8
15,79.7770462036133,0.1,8
18.75,79.7770462036133,0.1,8
101.25,79.7770462036133,0.1,8
-86.25,79.7770462036133,0.1,8
-82.5,79.7770462036133,0.1,8
-75,79.7770462036133,0.1,8
-71.25,79.7770462036133,0.1,8
-67.5,79.7770462036133,0.1,8
-22.5,79.7770462036133,0.1,8
-18.75,79.7770462036133,0.1,8
97.5,76.0702438354492,0.1,8
101.25,76.0702438354492,0.1,8
105,76.0702438354492,0.1,8
108.75,76.0702438354492,0.1,8
-116.25,76.0702438354492,0.1,8
-112.5,76.0702438354492,0.1,8
-86.25,76.0702438354492,0.1,8
-82.5,76.0702438354492,0.1,8
-22.5,76.0702438354492,0.1,8
52.5,72.3615798950195,0.1,8
56.25,72.3615798950195,0.1,8
67.5,72.3615798950195,0.1,8
71.25,72.3615798950195,0.1,8
75,72.3615798950195,0.1,8
78.75,72.3615798950195,0.1,8
82.5,72.3615798950195,0.1,8
86.25,72.3615798950195,0.1,8
90,72.3615798950195,0.1,8
93.75,72.3615798950195,0.1,8
97.5,72.3615798950195,0.1,8
101.25,72.3615798950195,0.1,8
105,72.3615798950195,0.1,8
108.75,72.3615798950195,0.1,8
112.5,72.3615798950195,0.1,8
116.25,72.3615798950195,0.1,8
120,72.3615798950195,0.1,8
123.75,72.3615798950195,0.1,8
127.5,72.3615798950195,0.1,8
131.25,72.3615798950195,0.1,8
138.75,72.3615798950195,0.1,8
142.5,72.3615798950195,0.1,8
146.25,72.3615798950195,0.1,8
-123.75,72.3615798950195,0.1,8
-120,72.3615798950195,0.1,8
-116.25,72.3615798950195,0.1,8
-112.5,72.3615798950195,0.1,8
-108.75,72.3615798950195,0.1,8
-93.75,72.3615798950195,0.1,8
-86.25,72.3615798950195,0.1,8
-82.5,72.3615798950195,0.1,8
-78.75,72.3615798950195,0.1,8
-75,72.3615798950195,0.1,8
-56.25,72.3615798950195,0.1,8
-26.25,72.3615798950195,0.1,8
-22.5,72.3615798950195,0.1,8
18.75,68.6520156860352,0.1,4
22.5,68.6520156860352,0.1,4
26.25,68.6520156860352,0.1,6
30,68.6520156860352,0.1,6
52.5,68.6520156860352,0.1,8
56.25,68.6520156860352,0.1,8
60,68.6520156860352,0.1,8
63.75,68.6520156860352,0.1,8
67.5,68.6520156860352,0.1,8
71.25,68.6520156860352,0.1,8
75,68.6520156860352,0.1,8
78.75,68.6520156860352,0.1,8
82.5,68.6520156860352,0.1,8
86.25,68.6520156860352,0.1,8
90,68.6520156860352,0.1,8
93.75,68.6520156860352,0.1,8
97.5,68.6520156860352,0.1,8
101.25,68.6520156860352,0.1,8
105,68.6520156860352,0.1,8
108.75,68.6520156860352,0.1,8
112.5,68.6520156860352,0.1,8
116.25,68.6520156860352,0.1,4
120,68.6520156860352,0.1,4
123.75,68.6520156860352,0.1,4
127.5,68.6520156860352,0.1,4
131.25,68.6520156860352,0.1,8
135,68.6520156860352,0.1,8
138.75,68.6520156860352,0.1,8
142.5,68.6520156860352,0.1,8
146.25,68.6520156860352,0.1,8
150,68.6520156860352,0.1,8
153.75,68.6520156860352,0.1,8
157.5,68.6520156860352,0.1,8
161.25,68.6520156860352,0.1,8
165,68.6520156860352,0.1,8
168.75,68.6520156860352,0.1,8
172.5,68.6520156860352,0.1,8
176.25,68.6520156860352,0.1,8
180,68.6520156860352,0.1,8
-161.25,68.6520156860352,0.1,8
-157.5,68.6520156860352,0.1,8
-153.75,68.6520156860352,0.1,8
-150,68.6520156860352,0.1,8
-146.25,68.6520156860352,0.1,8
-142.5,68.6520156860352,0.1,8
-138.75,68.6520156860352,0.1,6
-135,68.6520156860352,0.1,4
-131.25,68.6520156860352,0.1,4
-127.5,68.6520156860352,0.1,4
-123.75,68.6520156860352,0.1,4
-120,68.6520156860352,0.1,4
-116.25,68.6520156860352,0.1,4
-112.5,68.6520156860352,0.1,4
-108.75,68.6520156860352,0.1,4
-105,68.6520156860352,0.1,4
-97.5,68.6520156860352,0.1,6
-93.75,68.6520156860352,0.1,6
-90,68.6520156860352,0.1,8
-82.5,68.6520156860352,0.1,8
-75,68.6520156860352,0.1,8
-71.25,68.6520156860352,0.1,4
-67.5,68.6520156860352,0.1,4
-52.5,68.6520156860352,0.1,8
15,64.9419479370117,0.1,4
18.75,64.9419479370117,0.1,4
22.5,64.9419479370117,0.1,4
26.25,64.9419479370117,0.1,4
30,64.9419479370117,0.1,4
33.75,64.9419479370117,0.1,4
41.25,64.9419479370117,0.1,4
45,64.9419479370117,0.1,4
48.75,64.9419479370117,0.1,4
52.5,64.9419479370117,0.1,4
56.25,64.9419479370117,0.1,4
60,64.9419479370117,0.1,4
63.75,64.9419479370117,0.1,4
67.5,64.9419479370117,0.1,4
71.25,64.9419479370117,0.1,4
75,64.9419479370117,0.1,4
78.75,64.9419479370117,0.1,4
82.5,64.9419479370117,0.1,4
86.25,64.9419479370117,0.1,4
90,64.9419479370117,0.1,4
93.75,64.9419479370117,0.1,8
97.5,64.9419479370117,0.1,8
101.25,64.9419479370117,0.1,8
105,64.9419479370117,0.1,8
108.75,64.9419479370117,0.1,8
112.5,64.9419479370117,0.1,4
116.25,64.9419479370117,0.1,4
120,64.9419479370117,0.1,4
123.75,64.9419479370117,0.1,4
127.5,64.9419479370117,0.1,4
131.25,64.9419479370117,0.1,8
135,64.9419479370117,0.1,8
138.75,64.9419479370117,0.1,8
142.5,64.9419479370117,0.1,8
146.25,64.9419479370117,0.1,8
150,64.9419479370117,0.1,8
153.75,64.9419479370117,0.1,8
157.5,64.9419479370117,0.1,8
161.25,64.9419479370117,0.1,8
165,64.9419479370117,0.1,8
168.75,64.9419479370117,0.1,8
172.5,64.9419479370117,0.1,8
176.25,64.9419479370117,0.1,8
180,64.9419479370117,0.1,8
-176.25,64.9419479370117,0.1,8
-172.5,64.9419479370117,0.1,8
-161.25,64.9419479370117,0.1,6
-157.5,64.9419479370117,0.1,6
-153.75,64.9419479370117,0.1,8
-150,64.9419479370117,0.1,8
-146.25,64.9419479370117,0.1,8
-142.5,64.9419479370117,0.1,8
-138.75,64.9419479370117,0.1,8
-135,64.9419479370117,0.1,8
-131.25,64.9419479370117,0.1,6
-127.5,64.9419479370117,0.1,4
-123.75,64.9419479370117,0.1,4
-120,64.9419479370117,0.1,4
-116.25,64.9419479370117,0.1,4
-112.5,64.9419479370117,0.1,4
-108.75,64.9419479370117,0.1,4
-105,64.9419479370117,0.1,4
-101.25,64.9419479370117,0.1,4
-97.5,64.9419479370117,0.1,4
-93.75,64.9419479370117,0.1,4
-90,64.9419479370117,0.1,4
-86.25,64.9419479370117,0.1,6
-71.25,64.9419479370117,0.1,6
-67.5,64.9419479370117,0.1,6
-18.75,64.9419479370117,0.1,4
7.5,61.231575012207,0.1,3
11.25,61.231575012207,0.1,4
15,61.231575012207,0.1,4
22.5,61.231575012207,0.1,4
26.25,61.231575012207,0.1,4
30,61.231575012207,0.1,4
33.75,61.231575012207,0.1,4
37.5,61.231575012207,0.1,4
41.25,61.231575012207,0.1,4
45,61.231575012207,0.1,4
48.75,61.231575012207,0.1,4
52.5,61.231575012207,0.1,4
56.25,61.231575012207,0.1,4
60,61.231575012207,0.1,4
63.75,61.231575012207,0.1,4
67.5,61.231575012207,0.1,4
71.25,61.231575012207,0.1,4
75,61.231575012207,0.1,4
78.75,61.231575012207,0.1,4
82.5,61.231575012207,0.1,4
86.25,61.231575012207,0.1,4
90,61.231575012207,0.1,4
93.75,61.231575012207,0.1,4
97.5,61.231575012207,0.1,4
101.25,61.231575012207,0.1,4
105,61.231575012207,0.1,4
108.75,61.231575012207,0.1,4
112.5,61.231575012207,0.1,4
116.25,61.231575012207,0.1,4
120,61.231575012207,0.1,4
123.75,61.231575012207,0.1,4
127.5,61.231575012207,0.1,4
131.25,61.231575012207,0.1,8
135,61.231575012207,0.1,8
138.75,61.231575012207,0.1,8
142.5,61.231575012207,0.1,8
146.25,61.231575012207,0.1,8
150,61.231575012207,0.1,8
157.5,61.231575012207,0.1,8
161.25,61.231575012207,0.1,8
165,61.231575012207,0.1,8
168.75,61.231575012207,0.1,8
172.5,61.231575012207,0.1,8
-161.25,61.231575012207,0.1,6
-157.5,61.231575012207,0.1,6
-153.75,61.231575012207,0.1,6
-150,61.231575012207,0.1,6
-146.25,61.231575012207,0.1,8
-142.5,61.231575012207,0.1,8
-138.75,61.231575012207,0.1,8
-135,61.231575012207,0.1,8
-131.25,61.231575012207,0.1,8
-127.5,61.231575012207,0.1,8
-123.75,61.231575012207,0.1,4
-120,61.231575012207,0.1,4
-116.25,61.231575012207,0.1,4
-112.5,61.231575012207,0.1,4
-108.75,61.231575012207,0.1,4
-105,61.231575012207,0.1,4
-101.25,61.231575012207,0.1,4
-97.5,61.231575012207,0.1,4
-75,61.231575012207,0.1,6
-71.25,61.231575012207,0.1,6
15,57.5209922790527,0.1,3
26.25,57.5209922790527,0.1,3
30,57.5209922790527,0.1,3
33.75,57.5209922790527,0.1,3
37.5,57.5209922790527,0.1,4
41.25,57.5209922790527,0.1,4
45,57.5209922790527,0.1,4
48.75,57.5209922790527,0.1,4
52.5,57.5209922790527,0.1,4
56.25,57.5209922790527,0.1,4
60,57.5209922790527,0.1,4
63.75,57.5209922790527,0.1,4
67.5,57.5209922790527,0.1,4
71.25,57.5209922790527,0.1,4
75,57.5209922790527,0.1,4
78.75,57.5209922790527,0.1,4
82.5,57.5209922790527,0.1,4
86.25,57.5209922790527,0.1,4
90,57.5209922790527,0.1,4
93.75,57.5209922790527,0.1,4
97.5,57.5209922790527,0.1,4
101.25,57.5209922790527,0.1,4
105,57.5209922790527,0.1,4
108.75,57.5209922790527,0.1,4
112.5,57.5209922790527,0.1,8
116.25,57.5209922790527,0.1,8
120,57.5209922790527,0.1,4
123.75,57.5209922790527,0.1,4
127.5,57.5209922790527,0.1,8
131.25,57.5209922790527,0.1,8
135,57.5209922790527,0.1,8
157.5,57.5209922790527,0.1,8
-157.5,57.5209922790527,0.1,6
-153.75,57.5209922790527,0.1,6
-135,57.5209922790527,0.1,6
-131.25,57.5209922790527,0.1,8
-127.5,57.5209922790527,0.1,8
-123.75,57.5209922790527,0.1,6
-120,57.5209922790527,0.1,4
-116.25,57.5209922790527,0.1,4
-112.5,57.5209922790527,0.1,4
-108.75,57.5209922790527,0.1,3
-105,57.5209922790527,0.1,3
-101.25,57.5209922790527,0.1,4
-97.5,57.5209922790527,0.1,4
-93.75,57.5209922790527,0.1,4
-75,57.5209922790527,0.1,4
-71.25,57.5209922790527,0.1,4
-67.5,57.5209922790527,0.1,4
-63.75,57.5209922790527,0.1,4
0,53.8102722167969,0.1,3
7.5,53.8102722167969,0.1,3
11.25,53.8102722167969,0.1,3
15,53.8102722167969,0.1,3
18.75,53.8102722167969,0.1,3
22.5,53.8102722167969,0.1,3
26.25,53.8102722167969,0.1,3
30,53.8102722167969,0.1,3
33.75,53.8102722167969,0.1,3
37.5,53.8102722167969,0.1,3
41.25,53.8102722167969,0.1,3
45,53.8102722167969,0.1,3
48.75,53.8102722167969,0.1,3
52.5,53.8102722167969,0.1,3
56.25,53.8102722167969,0.1,3
60,53.8102722167969,0.1,3
63.75,53.8102722167969,0.1,6
67.5,53.8102722167969,0.1,6
71.25,53.8102722167969,0.1,6
