"Biome","Timeslice_younger","Timeslice_older","Site_number","Proportion","Source"
"Northern Hemisphere",0,0.5,1941,0.213615097191589,"Pollen-based reconstruction"
"Northern Hemisphere",0.5,1,2074,0.217613162663672,"Pollen-based reconstruction"
"Northern Hemisphere",1,1.5,2047,0.211826843056427,"Pollen-based reconstruction"
"Northern Hemisphere",1.5,2,2043,0.210464327831513,"Pollen-based reconstruction"
"Northern Hemisphere",2,2.5,1992,0.182992362735272,"Pollen-based reconstruction"
"Northern Hemisphere",2.5,3,1981,0.180975869316766,"Pollen-based reconstruction"
"Northern Hemisphere",3,3.5,1933,0.177566798523493,"Pollen-based reconstruction"
"Northern Hemisphere",3.5,4,1886,0.163279814028901,"Pollen-based reconstruction"
"Northern Hemisphere",4,4.5,1824,0.167071199793268,"Pollen-based reconstruction"
"Northern Hemisphere",4.5,5,1820,0.15906901459686,"Pollen-based reconstruction"
"Northern Hemisphere",5,5.5,1804,0.153218564299061,"Pollen-based reconstruction"
"Northern Hemisphere",5.5,6,1774,0.176575210782346,"Pollen-based reconstruction"
"Northern Hemisphere",6,6.5,1705,0.190092216562361,"Pollen-based reconstruction"
"Northern Hemisphere",6.5,7,1648,0.1562600206043,"Pollen-based reconstruction"
"Northern Hemisphere",7,7.5,1621,0.196244730220116,"Pollen-based reconstruction"
"Northern Hemisphere",7.5,8,1535,0.172969675689291,"Pollen-based reconstruction"
"Northern Hemisphere",8,8.5,1482,0.193827668412237,"Pollen-based reconstruction"
"Northern Hemisphere",8.5,9,1472,0.176907618301814,"Pollen-based reconstruction"
"Northern Hemisphere",9,9.5,1372,0.186916663248616,"Pollen-based reconstruction"
"Northern Hemisphere",9.5,10,1303,0.185298658747219,"Pollen-based reconstruction"
"Northern Hemisphere",10,10.5,1207,0.227897662472053,"Pollen-based reconstruction"
"Northern Hemisphere",10.5,11,1122,0.23224482372897,"Pollen-based reconstruction"
"Northern Hemisphere",11,11.5,1061,0.254443384138127,"Pollen-based reconstruction"
"Northern Hemisphere",11.5,12,986,0.249242558326505,"Pollen-based reconstruction"
"Northern Hemisphere",12,12.5,892,0.272163820004793,"Pollen-based reconstruction"
"Northern Hemisphere",12.5,13,821,0.283039275062066,"Pollen-based reconstruction"
"Northern Hemisphere",13,13.5,723,0.324143778751192,"Pollen-based reconstruction"
"Northern Hemisphere",13.5,14,626,0.302833317613333,"Pollen-based reconstruction"
"Northern Hemisphere",14,14.5,525,0.271058750291759,"Pollen-based reconstruction"
"Northern Hemisphere",14.5,15,437,0.273794471368202,"Pollen-based reconstruction"
"Northern Hemisphere",15,15.5,372,0.259737711449743,"Pollen-based reconstruction"
"Northern Hemisphere",15.5,16,314,0.30783406792514,"Pollen-based reconstruction"
"Northern Hemisphere",16,16.5,275,0.252192822108213,"Pollen-based reconstruction"
"Northern Hemisphere",16.5,17,235,0.19518202287711,"Pollen-based reconstruction"
"Northern Hemisphere",17,17.5,209,0.222094395004427,"Pollen-based reconstruction"
"Northern Hemisphere",17.5,18,183,0.235045452157123,"Pollen-based reconstruction"
"Northern Hemisphere",18,18.5,159,0.37416028424725,"Pollen-based reconstruction"
"Northern Hemisphere",18.5,19,138,0.332150366628321,"Pollen-based reconstruction"
"Northern Hemisphere",19,19.5,143,0.332750622494211,"Pollen-based reconstruction"
"Northern Hemisphere",19.5,20,123,0.308476448588651,"Pollen-based reconstruction"
"Northern Hemisphere",20,20.5,111,0.199503975856187,"Pollen-based reconstruction"
"Northern Hemisphere",20.5,21,105,0.155838415090293,"Pollen-based reconstruction"
